Position Players,,,,40,A,NTC,2022,2023,2024,2025,2026,2027,Length
"Riley, Austin",,,,1,3,,$3 ,$3 ,,,,,2
"Chapman, Matt",,,,1,TA,,$17 ,$17 ,,,,,2
"Grisham, Trent",,,,1,3,,$7 ,$7 ,,,,,2
"Olsen, Matt",,,,1,3,,$9 ,$9 ,,,,,2
"Avila, Alex",,,,1,3,,$1 ,$1 ,,,,,2
"Fuentes, Josh",,,,1,3,,$1 ,$1 ,,,,,2
"Bemboom, Anthony",,,,1,3,,$1 ,$1 ,,,,,2
"Stanton, Giancarlo",,,,1,3,,$7 ,$7 ,,,,,2
"Tavares, Leody",,,,1,3,,$1 ,$1 ,,,,,2
"Soto, Juan",,,,1,TA,,$50 ,,,,,,1
"Tatis Jr., Fernando",,,,1,TB,,$5 ,,,,,,1
"Yastzremski, Mike",,,,1,TB,,$6 ,,,,,,1
"Polanco, Jorge",,,,1,TB,,$7 ,,,,,,1
"Vasquez, Christian",,,,1,3,,$20 ,,,,,,1
"Lowe, Nate",,,,1,3,,$2 ,,,,,,1
"Bruce, Jay",,,,1,3,,$1 ,,,,,,1
Pitchers,,,,40,A,NTC,2022,2023,2024,2025,2026,2027,Length
"Bieber, Shane",,,,1,3,,$45 ,$45 ,,,,,2
"Pagan, Emilio",,,,1,TA,,$10 ,$10 ,,,,,2
"Karinchak, James",,,,1,3,,$5 ,$5 ,,,,,2
"Shreve, Chasen",,,,1,3,,$1 ,$1 ,,,,,2
"Montero, Rafael",,,,1,3,,$1 ,$1 ,,,,,2
"Flaherty, Jack",,,,1,3,,$14 ,,,,,,1
"Chirinos, Yonny",,,,1,TB,,$19 ,,,,,,1
"Wendelkin, J. B.",,,,1,3,,$30 ,,,,,,1
"Minor, Mike",,,,1,TA,,$5 ,,,,,,1
"Mayers, Michael",,,,1,3,,$22 ,,,,,,1
"Shoemaker, Matt",,,,1,3,,$1 ,,,,,,1
"Wisler, Matt",,,,1,3,,$3 ,,,,,,1
"Andriese, Matt",,,,1,3,,$3 ,,,,,,1
"Barager, Caleb",,,,1,TB,,$1 ,,,,,,1
