Player,Classification,Arb Yr,Contract,,,Previous Salary
"Belt, Brandon",Type C,2,$14 ,,,$9 
"Gurriel Jr., Lourdes",Type C,2,$12 ,,,$8 
"Marquez, German",Type C,2,$12 ,,,$8 
"Ahmed, Nick",Type C,3,$9 ,,,$6 
"La Stella, Tommy",Type C,3,$8 ,,,$5 
"Bradley, Archie",Type C,3,$8 ,,,$5 
"Floro, Dylan",Type C,3,$8 ,,$3 ,$5 
"Ferguson, Caleb",Type C,3,$8 ,,$3 ,$5 
"Taylor, Michael",Type C,3,$8 ,,$2 ,$5 
"Suzuki, Kurt",Type C,3,$8 ,,$1 ,$5 
"Taylor, Chris",Type C,3,$8 ,,$1 ,$5 
"Lopez, Yoan",Type C,3,$8 ,,$1 ,$5 
"Ozuna, Marcell",Type A,,,,,$34 
"Lemahieu, D.J.",Type A,,,,,$35 
"Chavis, Michael",Type B,,,,,$3 
