Position Players,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Turner, Justin",,,,1,TA,,$10 ,,,,,,1
"Perez, Roberto",,,,1,3,,$18 ,,,,,,1
"Luplow, Jordan",,,,1,3,,$20 ,,,,,,1
"Verdugo, Alex",,,,1,TB,,$2 ,,,,,,1
"Seager, Corey",,,,1,TB,,$8 ,,,,,,1
"Walker, Christian",,,,1,TB,,$5 ,,,,,,1
"Goldschmidt, Paul",,,,1,TB,,$51 ,,,,,,1
"Adrianza, Ehire",,,,1,3,,$1 ,,,,,,1
"Tromp, Chadwick",,,,1,3,,$2 ,,,,,,1
"Hilliard, Sam",,,,1,3,,$3 ,,,,,,1
"Varsho, Daulton",,,,1,3,,$1 ,,,,,,1
"O'Neill, Tyler",,,,1,3,,$1 ,,,,,,1
Pitchers,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Cole, Gerritt",,,,1,3,,$30 ,$30 ,,,,,2
"Byndy, Dylan",,,,1,3,,$29 ,$29 ,,,,,2
"Wainwright, Adam",,,,1,3,,$29 ,$29 ,,,,,2
"Castillo, Diego",,,,1,3,,$2 ,$2 ,,,,,2
"Cabrera, Genesis",,,,1,3,,$3 ,$3 ,,,,,2
"Urias, Julio",,,,1,3,,$1 ,,,,,,1
"Ryu, Hyun-Jin",,,,1,TA,,$29 ,,,,,,1
"Jansen, Kenley",,,,1,3,,$10 ,,,,,,1
"Rodriguez, Joely",,,,1,3,,$7 ,,,,,,1
"Dolis, Rafael",,,,1,3,,$1 ,,,,,,1
"Eflin, Zack",,,,1,3,,$1 ,,,,,,1
"Montgomery, Jordan",,,,1,3,,$2 ,,,,,,1
"Dayton, Grant",,,,1,3,,$1 ,,,,,,1
