Position Players,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"McNeil, Jeff",,,,1,,,$25 ,$25 ,$25 ,,,,3
"Kieboom,Carter",,,,1,TB,,$2 ,$2 ,$2 ,,,,3
"Reyes, Franmil",,,,1,TB,,$3 ,$3 ,$3 ,,,,3
"Rendon, Anthony",,,,1,,,$40 ,$40 ,,,,,2
"Bradley Jr., Jackie",,,,1,3,,$2 ,$2 ,,,,,2
"Garcia, Avisail",,,,1,3,,$1 ,$1 ,,,,,2
"Ohtani, Shohei",,,,1,3,,$3 ,$3 ,,,,,2
"Martinez, J.D.",,,,1,3,,$2 ,$2 ,,,,,2
"Hicks, Aaron",,,,1,3,,$2 ,$2 ,,,,,2
"Marsh, Brandon",,,,,3,,$1 ,$1 ,,,,,2
"Kepler, Max",,,,1,B,,$16 ,$16 ,,,,,2
"Hosmer, Eric",,,,1,3,,$6 ,,,,,,1
"McCutchen, Andrew",,,,1,,,$4 ,,,,,,1
"Gimenez, Andres",,,,1,3,,$5 ,,,,,,1
"Garver, Mitch",,,,1,3,,$1 ,,,,,,1
"Jeffers, Ryan",,,,1,B,,$1 ,,,,,,1
Pitchers,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Fried, Max",,,,1,3,,$1 ,$1 ,,,,,2
"Pearson, Nate",,,,1,3,,$3 ,$3 ,,,,,2
"Lopez, Pablo",,,,1,3,,$16 ,$16 ,,,,,2
"Walker, Taijuan",,,,1,3,,$1 ,$1 ,,,,,2
"Howard, Spencer",,,,1,3,,$1 ,$1 ,,,,,2
"Meyer, Max",,,,,3,,$3 ,$3 ,,,,,2
"Luzardo, Jesus",,,,1,3,,$2 ,,,,,,1
"Maeda, Kenta",,,,1,,,$25 ,,,,,,1
"Canning, Griffin",,,,1,3,,$5 ,,,,,,1
"Gonzalez, Victor",,,,1,3,,$29 ,,,,,,1
"Romano, Jordan",,,,1,3,,$1 ,,,,,,1
