Position Players,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Smith, Will",,,,1,B,,$29 ,$29 ,$29 ,,,,3
"Tellez, Rowdy",,,,1,B,,$1 ,$1 ,$1 ,,,,3
"Solano, Donovan",,,,1,3,,$1 ,$1 ,,,,,2
"Laureano, Ramon",,,,1,3,,$4 ,$4 ,,,,,2
"Biggio, Cavan",,,,1,3,,$6 ,$6 ,,,,,2
"Santana, Danny",,,,1,3,,$1 ,$1 ,,,,,2
"Bleday, J.J.",,,,,3,,$2 ,$2 ,,,,,2
"Astudillo, Willians",,,,1,3,,$1 ,$1 ,,,,,2
"Bader, Harrison",,,,1,,,$1 ,$1 ,,,,,2
"Albies, Ozzie",,,,1,,,$27 ,$27 ,,,,,2
"Harper, Bryce",,,,1,3,,$37 ,$37 ,,,,,2
"Fletcher, David",,,,1,B,,$19 ,$19 ,,,,,2
"Leon, Sandy",,,,1,B,,$1 ,$1 ,,,,,2
"Bart, Joey",,,,1,,,$1 ,,,,,,1
"Sandoval, Pablo",,,,1,A,Y,$7 ,,,,,,1
"Encarnaccion, Edwin",,,,1,A,Y,$7 ,,,,,,1
"Pillar, Kevin",,,,1,,,$3 ,,,,,,1
"Pence, Hunter",,,,1,3,,$3 ,,,,,,1
"Urias, Luis",,,,1,,,$2 ,,,,,,1
"Swanson, Dansby",,,,1,A,,$7 ,,,,,,1
Pitchers,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Hale, David",,,,1,Y,,$1 ,$1 ,,,,,2
"Alcantara, Sandy",,,,1,Y,,$5 ,$5 ,,,,,2
"Kershaw, Clayton",,,,1,3,,$36 ,$36 ,,,,,2
"Paddock, Chris",,,,1,,Y,$7 ,,,,,,1
"Rodriguez, Derreck",,,,1,Y,,$1 ,,,,,,1
"Walden, Marcus",,,,1,Y,,$3 ,,,,,,1
"Carrasco, Carlos",,,,1,,,$2 ,,,,,,1
"Hill, Rich",,,,1,TA,,$18 ,,,,,,1
"Peterson, David",,,,1,3,,$23 ,,,,,,1
"Slegers, Aaron",,,,1,3,,$25 ,,,,,,1
