Position Players,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Andrus, Elvis",,,,1,3,,$4 ,$4 ,$4 ,,,,3
"Naylor, Josh",,,,1,3,,$1 ,$1 ,$1 ,,,,3
"Luciano, Marco",,,,,3,,$2 ,$2 ,$2 ,,,,3
"Frazier, Clint",,,,1,B,,$35 ,$35 ,$35 ,,,,3
"Lindor, Francisco",,,,1,B,,$49 ,$49 ,$49 ,,,,3
"Fowler, Dexter",,,,1,3,,$1 ,$1 ,,,,,2
"Hasely, Adam",,,,1,TB,,$1 ,$1 ,,,,,2
"Hampson, Garret",,,,1,TB,,$1 ,$1 ,,,,,2
"Cruz, Nelson",,,,1,TA,,$39 ,$39 ,,,,,2
"Dominguez, Jasson",,,,,3,,$1 ,$1 ,,,,,2
"Martin, Austin",,,,,3,,$3 ,$3 ,,,,,2
"Renfroe, Hunter",,,,1,TB,,$1 ,$1 ,,,,,2
"Brinson, Lewis",,,,1,TB,,$1 ,$1 ,,,,,2
"Laureano, Ramon",,,,1,B,,$4 ,$4 ,,,,,2
"Abrams, C.J.",,,,,B,,$1 ,$1 ,,,,,2
"Downs, Jeter",,,,,B,,$2 ,$2 ,,,,,2
"Davis, Khris",,,,1,TA,,$17 ,,,,,,1
"DeJong, Paul",,,,1,TB,,$1 ,,,,,,1
"Moreland, Mitch",,,,1,TB,,$29 ,,,,,,1
"Ward, Taylor",,,,1,TB,,$1 ,,,,,,1
Pitchers,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Puk, A.J.",,,,,3,,$1 ,$1 ,,,,,2
"Perdomo, Luis",,,,1,3,,$1 ,$1 ,,,,,2
"Duffey, Tyler",,,,1,TA,,$30 ,$30 ,,,,,2
"Cueto, Johnny",,,,1,3,,$2 ,$2 ,,,,,2
"Gore, Mackenzie",,,,1,B,,$3 ,$3 ,,,,,2
"Green, Chad",,,,1,B,,$1 ,$1 ,,,,,2
"Lugo, Seth",,,,1,B,,$1 ,$1 ,,,,,2
"Wood, Alex",,,,1,B,,$3 ,$3 ,,,,,2
"Smith, Will",,,,1,TA,Y,$7 ,,,,,,1
"Civale, Aaron",,,,1,3,,$10 ,,,,,,1
"Doolittle, Sean",,,,1,3,,$1 ,,,,,,1
"McKay, Brenden",,,,1,3,,$8 ,,,,,,1
"Eovaldi, Nathan",,,,1,3,,$3 ,,,,,,1
"Hill, Cam",,,,1,3,,$5 ,,,,,,1
"Ottavino, Adam",,,,,TB,,$1 ,,,,,,1
"Yarbrough, Ryan",,,,1,A,,$30 ,,,,,,1
"Stroman, Marcus",,,,1,B,,$11 ,,,,,,1
"Hill, Rich",,,,1,B,,$18 ,,,,,,1
"Odorizzi, Jake",,,,1,B,,$11 ,,,,,,1
