Position Players,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Diaz, Yandy",,,,1,B,,$5 ,$5 ,$5 ,,,,3
"Adell, Joe",,,,1,B,,$2 ,$2 ,$2 ,,,,3
"Kingery, Scott",,,,1,3,,$2 ,$2 ,,,,,2
"Conforto, Michael",,,,1,,,$15 ,$15 ,,,,,2
"Dahl, David",,,,1,3,,$2 ,$2 ,,,,,2
"Chisholm, Jazz",,,,1,3,,$2 ,$2 ,,,,,2
"Longoria, Evan",,,,1,B,,$1 ,$1 ,,,,,2
"Arraez, Luis",,,,1,B,,$12 ,$12 ,,,,,2
"Pinder, Chad",,,,1,,,$7 ,,,,,,1
"Choi, Ji-Man",,,,1,,,$5 ,,,,,,1
"Calhoun, Willie",,,,1,,,$2 ,,,,,,1
"Voit, Luke",,,,1,,,$4 ,,,,,,1
"Buxton, Byron",,,,1,3,,$19 ,,,,,,1
"Segura, Jean",,,,1,3,,$9 ,,,,,,1
"Nola, Austin",,,,1,3,,$25 ,,,,,,1
"Robles, Victor",,,,1,B,,$9 ,,,,,,1
Pitchers,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Keuchel, Dallas",,,,1,3,,$7 ,$7 ,,,,,2
"Manaea, Sean",,,,1,,,$4 ,$4 ,,,,,2
"Sanchez, Sixto",,,,1,,,$1 ,$1 ,,,,,2
"Davis, Wade",,,,1,3,,$2 ,,,,,,1
"McKenzie, Tristan",,,,1,,,$26 ,,,,,,1
"O'Day, Darren",,,,1,3,,$20 ,,,,,,1
"Lynn, Lance",,,,1,A,,$39 ,,,,,,1
