Name,Salary,Length
Matt Chapman,17,3
Clint Frazier,35,4
Mike Minor,5,2
Emilio Pagan,10,3
Nick Wittgren,10,3
Ozzie Albies,27,3
Isiah Kiner-Falefa,10,3
Victor Robles,9,2
Miguel Sano,2,3
Kole Calhoun,5,3
Jeurys Familia,1,2
Randal Grichuk,5,3
Ketel Marte,20,4
Ryan McMahon,1,3
Miguel Rojas,17,3
Andrelton Simmons,12,3
Didi Gregorius,7,2
Mitch Moreland,29,2
Brandon Nimmo,12,3
Gleyber Torres,8,3
Cody Bellinger,37,4
Mark Canha,15,3
Nelson Cruz,39,3
David Fletcher,19,3
Will Smith,29,4
Nick Anderson,30,3
Garrett Cooper,9,3
Sonny Gray,13,3
Jeff McNeil,25,4
Stefan Crichton,12,3
Tyler Duffey,30,3
Manuel Margot,8,3
Rich Hill,18,2
Carlos Santana,3,2
Blake Snell,21,3
Joakim Soria,1,4
