Max Draft,$54 ,Max Draft,$1 ,Max Draft,$6 ,Max Draft,$23 ,Max Draft,$30 ,Max Draft,$5 ,Max Draft,$1 ,Max Draft,$1 ,Max Draft,$1 ,Max Draft,$3 
Dodgers,$53 ,Golden Bears,$0 ,Phillies,$5 ,Nuggets,$22 ,Cattlemen,$29 ,Bison,$4 ,Arsenal,$0 ,Ducks,$0 ,Tamales,$0 ,Matadors,$2 
Nick Ahmed,$6 ,Max Muncy,$35 ,Rick Porcello,$1 ,Austin Meadows,$5 ,Jordan Hicks,$5 ,Juan Soto,$50 ,Kyle Gibson,$3 ,Manny Machado,$36 ,Mike Trout,$72 ,Brian Anderson,$7 
A.J. Ellis,$3 ,Adam Ottavino,$24 ,Pablo Sandoval,$2 ,Joey Wendle,$26 ,Pedro Baez,$1 ,Kolten Wong,$5 ,Leonys Martin,$4 ,Sergio Romo,$1 ,Ryan Brasier,$20 ,Eric Hosmer,$6 
Greg Allen,$3 ,Anibal Sanchez,$13 ,Jesus Sucre,$1 ,Victor Arano,$10 ,Miles Mikolas,$16 ,Jack Flaherty,$14 ,Jeff Mathis,$3 ,Oliver Perez,$29 ,David Fletcher,$6 ,Jeff McNeil,$20 
Gorkys Hernandez,$2 ,Sam Dyson,$4 ,Edubray Ramos,$7 ,Kirby Yates,$18 ,Jose LeClerc,$26 ,Seranthony Dominguez,$25 ,Wil Myers,$4 ,Harrison Bader,$20 ,Yoshihisa Hirano,$1 ,Ji-Man Choi,$7 
Charlie Culberson,$2 ,Jeremy Hellickson,$6 ,Santiago Casilla,$2 ,Jose Castillo,$29 ,Miguel Andujar,$8 ,Daniel Ponce De Leon,$20 ,Lou Trevino,$12 ,Diego Castillo,$15 ,Kyle Freeland,$16 ,Andrew McCutchen,$10 
Dylan Floro,$3 ,Tony Watson,$3 ,Luke Maile,$1 ,Reyes Moronta,$16 ,Seunghwan Oh,$6 ,Sandy Leon,$3 ,Ian Kinsler,$4 ,Taylor Cole,$32 ,Jonathan Holder,$19 ,Trevor Cahill,$8 
Caleb Ferguson,$3 ,Dan Winkler,$5 ,Tyson Ross,$2 ,Jose Briceno,$6 ,J.A. Happ,$15 ,David Dahl,$23 ,Jarrod Dyson,$3 ,Franmil Reyes,$19 ,Austin Hedges,$2 ,Kevin Gausman,$1 
Jake Cave,$1 ,Aledmys Diaz,$1 ,Erik Goeddel,$1 ,Johnny Venters,$2 ,Jose Alverado,$20 ,T.J. McFarland,$3 ,,,Seth Lugo,$20 ,David Freese,$4 ,Matt Strahm,$17 
Ronald Guzman,$2 ,,,Tyler Glasnow,$1 ,Zach Britton,$2 ,Justin Upton,$5 ,Clay Buchholz,$10 ,,,Mark Canha,$4 ,C.J. Cron,$3 ,Yasmani Grandal,$9 
Brandon Belt,$6 ,,,Isiah Kiner-Filefa,$2 ,Steve Pearce,$6 ,Ryne Stanek,$13 ,Starlin Castro,$1 ,,,Derreck Rodriguez,$17 ,Wade Davis,$2 ,John Gant,$13 
Mike Fiers,$1 ,,,Adeny Hechavarria,$2 ,Chaz Roe,$2 ,Sean Newcomb,$2 ,Blake Swihart,$1 ,,,Shawn Kelley,$7 ,,,Scott Oberg,$20 
Vidal Nuno,$1 ,,,Domingo German,$1 ,Derek Holland,$2 ,Yairo Munoz,$7 ,Edwin Jackson,$1 ,,,Nick Pivetta,$1 ,,,Mike Minor,$5 
German Marquez,$4 ,,,Edwin Encarnacion,$2 ,Paul DeJong,$1 ,Jurickson Profar,$1 ,Matt Barnes,$1 ,,,Elisier Hernandez,$19 ,,,Carter Kieboom,$1 
Yonny Chirinos,$1 ,,,Joe Panik,$1 ,Matt Wieters,$1 ,Elvis Andrus,$6 ,Nick Wittgren,$1 ,,,Justin Bour,$1 ,,,Robbie Erlin,$2 
Michael A. Taylor,$1 ,,,Carlos Villanueva,$7 ,Jake Arrieta,$3 ,,,Daniel Mengden,$2 ,,,John Brebbia,$1 ,,,,
Adrian Beltre,$1 ,,,Daniel Hudson,$2 ,,,,,Lewis Brinson,$1 ,,,Shane Carle,$6 ,,,,
"Lourdes Gurriel, Jr.",$1 ,,,,,,,,,Jaime Barria,$1 ,,,Chris Bassitt,$1 ,,,,
Eduardo Rodriguez,$1 ,,,,,,,,,Adam Kolarek,$1 ,,,Ryan Borucki,$1 ,,,,
A.J. Minter,$1 ,,,,,,,,,Robert Stock,$1 ,,,Devin Mesoraco,$1 ,,,,
,,,,,,,,,,Jake Bauers,$1 ,,,Alen Hanson,$1 ,,,,
,,,,,,,,,,,,,,Francisco Arcia,$1 ,,,,
,,,,,,,,,,,,,,W. Suarez,$1 ,,,,
,,,,,,,,,,,,,,Joe Schultz,$1 ,,,,
,,,,,,,,,,,,,,Tyler Austin,$1 ,,,,
,,,,,,,,,,,,,,Evan Longoria,$1 ,,,,
,,,,,,,,,,,,,,Drew Rucinski,$1 ,,,,
