$18 ,Max/ Salary,$1 ,Max/ Salary,$0 ,Max/ Salary,$40 ,Max/ Salary,$9 ,Max/ Salary,$5 ,Max/ Salary,$0 ,Max/ Salary,$15 ,Max/ Salary,$28 ,Max/ Salary,$0 ,Max/ Salary
Phillies,$18 ,Ducks,$2 ,Bison,$1 ,Dodgers,$39 ,Bears,$9 ,Matadors,$5 ,Cattlemen,$1 ,Nuggets,$14 ,Copperheads,$29 ,Tamales,$1 
Danny Jansen,$1 ,Lance Lynn,$39 ,Shane Bieber,$45 ,Josh Phegley,$2 ,Adam Civale,$10 ,Giovanny Gallegos,$29 ,Howie Kendrick,$19 ,Mike Zunino,$2 ,Frankie Montas,$11 ,Hansel Robles,$29 
Curtis Granderson,$1 ,Tony Gonsolin,$29 ,J.B. Wendelken,$30 ,Kenley Jansen,$10 ,Tyler Clippard,$20 ,Chris Martin,$4 ,Charlie Morton,$37 ,Tyler Duffey,$19 ,Brandon Workman,$26 ,Ryan Yarbrough,$30 
Donovan Solano,$7 ,Will Smith,$19 ,Jordan Yamamoto,$20 ,Roberto Perez,$18 ,Ross Stripling,$24 ,Luke Weaver,$15 ,Buster Posey,$5 ,Tommy Edman,$19 ,Jacob Webb,$3 ,Dallas Keuchel,$7 
Dereck Rodriguez,$1 ,Nelson Cruz,$19 ,Alex Avila,$3 ,Kurt Suzuki,$1 ,Jeff Samardzija,$24 ,Garrett Cooper,$4 ,Hector Neris,$15 ,S Chrichton,$19 ,Yadier Molina,$5 ,Marcus Stroman,$11 
Ramon Laureano,$4 ,Sandy Leon,$1 ,Emilio Pagan,$15 ,Jordan Luplow,$20 ,Zach Plesac,$7 ,J.D. Davis,$14 ,Liam Hendriks,$23 ,Jarlin Garcia,$19 ,,,Jason Castro,$1 
Michael Tauchman,$13 ,Eric Sogard,$3 ,Jon Berti,$3 ,Archie Bradley,$5 ,Mitch Garver,$20 ,Dominic Smith,$7 ,James Paxton,$20 ,Zac Gallen,$11 ,,,Scott Kingery,$2 
Cam Bedrosian,$5 ,Luis Perdomo,$1 ,Homer Bailey,$1 ,Mike Yastrzemski,$6 ,Nick Anderson,$7 ,Colin Poche,$16 ,Christian Walker,$5 ,Josh Taylor,$10 ,,,Trevor Gott,$17 
Tyler Skaggs,$20 ,Joey Lucchesi,$7 ,Austin Riley,$3 ,Didi Gregorius,$2 ,Luis Arraez,$12 ,Jacob Waguespack,$2 ,Oliver Drake,$5 ,Brian Anderson,$1 ,,,Brock Holt ,$2 
David Hale,$1 ,Travis d'Arnaud,$3 ,Michael Chavis,$3 ,Tommy La Stella,$5 ,Maett Joyce,$7 ,Jackie Bradley Jr.,$2 ,Masahiro Tanaka,$7 ,Daniel Hudson,$3 ,,,Todd Frazier ,$1 
Marcus Walden,$3 ,Yandy Diaz,$5 ,Jose Trevino,$1 ,Jason Vargas,$2 ,Franmil Reyes,$3 ,Griffin Canning,$5 ,Gio Urshella,$7 ,Joey Wendle,$1 ,,,Brian Goodwin,$1 
Cavan Biggio,$6 ,Joakim Soria,$19 ,Sam Gaviglio,$3 ,David Peralta,$1 ,Dexter Fowler,$1 ,Brendan McKay,$8 ,Billy Hamilton,$1 ,Travis Webb,$10 ,,,Rick Porcello,$1 
Hunter Pence,$3 ,Andrew Cashner,$1 ,,,Adeny Hechevarria,$1 ,Yimi Garcia,$3 ,Tim Locastro,$11 ,Luke Voit,$4 ,Alex Young,10,,,Dustin May,$2 
Sandy Alcantara,$5 ,Dinelson Lamet,$3 ,,,Chris Taylor,$1 ,Ehire Adrianza,$4 ,Austin Romine,$1 ,Brandon Lowe,$3 ,Oscar Mercado,1,,,Edwin Diaz,$1 
Austin Voth,$6 ,Tommy Kahnle,$1 ,,,Ty Buttrey,$3 ,Elvis Andrus,$4 ,Mike Freeman,$1 ,Robbie Ray,$1 ,,,,,Michael Wacha ,$1 
Shane Greene,$3 ,Tony Wolters,$4 ,,,Adam Ottavino,$3 ,Rowdy Tellez,$1 ,Max Fried,$1 ,Blake Treinen,$1 ,,,,,Adam Haseley,$1 
Danny Santana,1,Harrison Bader,$1 ,,,Isiah Kiner-Falefa,$1 ,Josh Naylor,$1 ,Adolis Garcia,1,Neil Walker,$1 ,,,,,Robinson Cano,$1 
,,Carlos Carasco,$2 ,,,Yoan Lopez,$1 ,Willie Calhoun,$2 ,,,,,,,,,Greg Allen,$1 
,,Austin Brice,$1 ,,,Matt Carpenter,$1 ,Shawn Manaea,$4 ,,,,,,,,,Andrew Miller,$1 
,,,,,,Tommy Pham,1,,,,,,,,,,,Robert Gsellman,$1 
,,,,,,Trey Wingenter,1,,,,,,,,,,,John Gant ,$1 
,,,,,,,,,,,,,,,,,,Mark Melancon,$1 
