Dodgers,,Starting Cap,Players Needed,Phillies,,Starting Cap,Players Needed,Renegades,,Starting Cap,Players Needed,Matadors,,Starting Cap,Players Needed,Ducks,,Starting Cap,Players Needed,Tamales,,Starting Cap,Players Needed,Bison,,Starting Cap,Players Needed,Nuggets,,Starting Cap,Players Needed,Cattlemen,,Starting Cap,Players Needed,Copperheads,,Starting Cap,Players Needed
,,$127 ,16,,,$151 ,12,,,$129 ,9,,,$140 ,19,,,$152 ,22,,,$146 ,10,,,$132 ,22,,,$203 ,18,,,$136 ,11,,,$106 ,11
Total $$,Spots left to Fill,$$ per selection,Max Bid,Total $$,Spots left to Fill,$$ per selection,Max Bid,Total $$,Spots left to Fill,$$ per selection,Max Bid,Total $$,Spots left to Fill,$$ per selection,Max Bid,Total $$,Spots left to Fill,$$ per selection,Max Bid,Total $$,Spots left to Fill,$$ per selection,Max Bid,Total $$,Spots left to Fill,$$ per selection,Max Bid,Total $$,Spots left to Fill,$$ per selection,Max Bid,Total $$,Spots left to Fill,$$ per selection,Max Bid,Total $$,Spots left to Fill,$$ per selection,Max Bid
$12 ,0,#DIV/0!,$13 ,$8 ,0,#DIV/0!,$9 ,$9 ,0,#DIV/0!,$10 ,$7 ,0,#DIV/0!,$8 ,$0 ,0,#DIV/0!,$1 ,$1 ,0,#DIV/0!,$2 ,$11 ,0,#DIV/0!,$12 ,$6 ,0,#DIV/0!,$7 ,$28 ,0,#DIV/0!,$29 ,$31 ,0,#DIV/0!,$32 
Player,,Salary,Length,Player,,Salary,Length,Player,,Salary,Length,Player,,Salary,Length,Player,,Salary,Length,Player,,Salary,Length,Player,,Salary,Length,Player,,Salary,Length,Player,,Salary,Length,Player,,Salary,Length
Gerrit Cole,,$30 ,,Clayton Kershaw,,$36 ,,A.J. Pollock,,$15 ,,Andres Gimenez,,$5 ,,Trevor Story,,$25 ,,Darren O'Day ,,$20 ,,Mike Mayers,,$22 ,,Ian Anderson,,$21 ,,Jose Ramirez,,$42 ,,Max Stassi,,$7 ,
Dylan Bundy,,$29 ,,Bryce Harper,,$37 ,,Nate Eovaldi,,$3 ,,Victor Gonzalez,,$29 ,,Erasmo Ramirez,,$29 ,,Josh Donaldson ,,$19 ,,Christian Vasquez,,$20 ,,Tanner Houck,,$10 ,,Zach Davies,,$22 ,,Kevin Plawecki,,$9 ,
Adam Wainwright,,$29 ,,Mauricio Dubon,,$5 ,,John Curtiss,,$9 ,,Jake Cronenworth,,$19 ,,Kwang Hyun Kim,,$16 ,,Trevor Rosenthal ,,$19 ,,J.A. Happ,,$16 ,,Freddie Freeman,,$39 ,,Trevor Cahill,,$4 ,,Tanner Rainey,,$6 ,
Ehire Adrianza,,$1 ,,Tony Kemp,,$3 ,,Triston McKenzie,,$26 ,,Pablo Lopez,,$16 ,,Mike Fiers,,$1 ,,David Dahl ,,$2 ,,Trent Grisham,,$7 ,,Madison Bumgarner,,$2 ,,Alex Dickerson,,$4 ,,Starling Marte,,$15 ,
Chadwick Tromp,,$2 ,,Wilmer Flores,,$6 ,,Johnny Cueto,,$2 ,,Burch Smith,,$16 ,,Cesar Hernandez,,$11 ,,Byron Buxton,,$19 ,,Matt Shoemaker,,$1 ,,Teoscar Hernandez,,$19 ,,Matt Strahm,,$2 ,,Deivi Garcia,,$8 ,
Michael A. Taylor,,$2 ,,David Peterson,,$23 ,,Josh Fleming ,,$12 ,,Shohei Ohtani,,$3 ,,Robbie Grossman,,$15 ,,Adam Duvall,,$10 ,,James Karinchak,,$5 ,,Kyle Higashioka,,$12 ,,Max Muncy,,$3 ,,Kyle Cody,,$3 ,
Diego Castillo,,$2 ,,Aaron Slegers,,$25 ,,Raimel Tapia,,$29 ,,Merrill Kelly,,$19 ,,Austin Slater,,$15 ,,Mike Brosseau ,,$12 ,,Matt Wisler,,$3 ,,Drew Smyly,,$7 ,,Brusdar Graterol ,,$5 ,,Jesus Aguilar,,$11 ,
Sam Hilliard,,$3 ,,Tommy Pham,,$1 ,,Cam Hill,,$5 ,,Tyler Matzek,,$5 ,,Jared Walsh,,$19 ,,Jean Segura ,,$9 ,,Matt Olson ,,$9 ,,Jake Diekman,,$8 ,,Jake McGee,,$9 ,,Antonio Senzatela,,$9 ,
Joely Rodriguez,,$7 ,,Carson Kelly ,,$1 ,,Elieser Hernandez,,$15 ,,J.D. Martinez,,$2 ,,Jeff Mathis,,$1 ,,Austin Nola,,$25 ,,Martin Perez,,$3 ,,Nick Solak,,$4 ,,Oliver Perez ,,$7 ,,Riley Smith ,,$1 ,
Rafael Dolis,,$1 ,,Jarlin Garcia,,$1 ,,Austin Martin,,$3 ,,Caleb Baragar,,$1 ,,Austin Gomber,,$6 ,,Aaron Loup,,$8 ,,Edwin Rios,,$13 ,,Anthony Bass,,$19 ,,Andrew Knapp,,$5 ,,Marwin Gonzalez,,$1 ,
Genesis Cabrera,,$3 ,,Drew Pomeranz,,$2 ,,Jasson Dominguez,,$1 ,,Aaron Hicks,,$2 ,,Ryan Brasier,,$1 ,,Jazz Chisholm Jr.,,$2 ,,Alex Avila ,,$1 ,,Thomas Hatch,,$10 ,,Max Scherzer,,$5 ,,Tommy Edman,,$5 ,
Daulton Varsho,,$1 ,,John Merryweather,,$1 ,,,,,,Mitch Garver,,$1 ,,Darin Ruf,,$3 ,,,,,,Matt Andriese ,,$3 ,,James Hoyt,,$9 ,,,,,,,,,
Zach Eflin,,$1 ,,Nolan Jones,,$1 ,,,,,,Taijuan Walker,,$1 ,,Blake Parker,,$1 ,,,,,,Josh Fuentes,,$1 ,,Bobby Dalbec,,$10 ,,,,,,,,,
Jordan Montgomery,,$2 ,,Tyler Soderstrom,,$1 ,,,,,,Hunter Renfroe,,$1 ,,Joc Pederson,,$1 ,,,,,,Anthony Bemboom,,$1 ,,Caleb Theilbar,,$7 ,,,,,,,,,
Grant Dayton,,$1 ,,,,,,,,,,Jordan Romano,,$1 ,,Seth Lugo,,$1 ,,,,,,Chasen Shreve,,$1 ,,Marcus Semien,,$2 ,,,,,,,,,
Tyler O'Neill,,$1 ,,,,,,,,,,Alex Wood,,$3 ,,Ronald Guzman,,$1 ,,,,,,Tyler Anderson,,$2 ,,Roman Quinn,,$8 ,,,,,,,,,
,,,,,,,,,,,,Sam Howard,,$1 ,,Daniel Castano ,,$1 ,,,,,,Giancarlo Stanton ,,$7 ,,Jonathan Villar,,$4 ,,,,,,,,,
,,,,,,,,,,,,Taylor Ward ,,$1 ,,Joe Panik ,,$1 ,,,,,,Rafael Montero,,$1 ,,Lewis Brinson,,$1 ,,,,,,,,,
