Player,Classification,Arb Yr,Contract,,,Previous Salary
"Marte, Starling",Type C,3,$23 ,,,$15 
"Aguilar, Jesus",Type C,3,$17 ,,,$11 
"Plawecki, Kevin",Type C,3,$14 ,,,$9 
"Senzatela, Antonio",Type C,3,$14 ,,,$9 
"Garcia, Deivi",Type C,3,$12 ,,,$8 
"Stassi, Max",Type C,3,$11 ,,,$7 
"Rainey, Tanner",Type C,3,$9 ,,,$6 
"Edman, Tommy",Type C,3,$8 ,,,$5 
"Gibson, Kyle",Type C,3,$8 ,,$3 ,$5 
"Cody, Kyle",Type C,3,$8 ,,$3 ,$5 
"Gonzalez, Marwin",Type C,3,$8 ,,$1 ,$5 
"Richards, Garrett",Type C,3,$8 ,,$1 ,$5 
"Smith, Riley",Type C,3,$8 ,,$1 ,$5 
"Barnes, Austin",Type B,,,,,$11 
"Hoskins, Rhys",Type B,,,,,$5 
"Diaz, Edwin",Type B,,,,,$1 
"Gant, John",Type B,,,,,$1 
