Position Players,,,,40,A,NTC,2022,2023,2024,2025,2026,2027,Length
"Marte, Ketel",,,,1,TA,,$20 ,$20 ,$20 ,,,,3
"Blackmon, Charlie",,,,1,TA,,$16 ,$16 ,,,,,2
"Nimmo, Brandon",,,,1,TA,,$12 ,$12 ,,,,,2
"Torres, Gleyber",,,,1,TA,,$8 ,$8 ,,,,,2
"Grichuk, Randall",,,,1,TA,,$5 ,$5 ,,,,,2
"Simmons, Andrelton",,,,1,TA,,$12 ,$12 ,,,,,2
"Rojas, Miguel",,,,1,TA,,$17 ,$17 ,,,,,2
"McMahon, Ryan",,,,1,TA,,$1 ,$1 ,,,,,2
"Lamb, Jake",,,,1,3,,$1 ,,,,,,1
"Escobar, Eduardo",,,,1,TA,Y,$7 ,,,,,,1
"Judge, Aaron",,,,1,TA,Y,$7 ,,,,,,1
Pitchers,,,,40,A,NTC,2022,2023,2024,2025,2026,2027,Length
"Kimbrel, Craig",,,,1,TB,,$25 ,$25 ,,,,,2
"Crichton, Stefan",,,,1,TA,,$12 ,$12 ,,,,,2
"Snell, Blake",,,,1,TA,,$21 ,$21 ,,,,,2
"Wittgren, Nick",,,,1,3,,$10 ,$10 ,,,,,2
"Chapman, Aroldis",,,,1,3,,$16 ,,,,,,1
"Severino, Luis",,,,1,TA,Y,$7 ,,,,,,1
"Rogers, Taylor",,,,1,TA,,$8 ,,,,,,1
"Montas, Frankie",,,,1,3,,$11 ,,,,,,1
"Webb, Jacob",,,,1,3,,$3 ,,,,,,1
"Treinen, Blake",,,,1,TB,,$1 ,,,,,,1
"Heaney, Andrew",,,,1,TB,,$5 ,,,,,,1
"Familia, Jeurys",,,,1,TA,,$1 ,,,,,,1
