Position Players,,,,40,A,NTC,2020,2021,2022,2023,2024,2025,Length
"Ramirez, Jose",,,,1,3,,$42 ,$42 ,$42 ,,,,3
"Sanchez, Gary",,,,1,,,$12 ,$12 ,,,,,2
"Lowe, Brandon",,,,1,3,,$3 ,$3 ,,,,,2
"Cooper, Garrett",,,,1,TA,,$9 ,$9 ,,,,,2
"Kiner-Falefa, Isiah",,,,1,TA,,$10 ,$10 ,,,,,2
"Altuve, Jose",,,,1,TA,,$72 ,$72 ,,,,,2
"Canha, Mark",,,,1,TA,,$15 ,$15 ,,,,,2
"Sano, Miguel",,,,1,TB,,$2 ,$2 ,,,,,2
"Dickerson, Alex",,,,1,3,,$4 ,$4 ,,,,,2
"Muncy, Max",,,,1,3,,$3 ,$3 ,,,,,2
"Andujar, Miguel",,,,1,3,,$8 ,,,,,,1
"Profar, Jurickson",,,,1,3,,$1 ,,,,,,1
"Hernandez, Enrique",,,,1,,,$5 ,,,,,,1
"Urshela, Gio",,,,1,3,,$7 ,,,,,,1
"Hamilton, Billy",,,,1,3,,$1 ,,,,,,1
"Myers, Wil",,,,1,,,$4 ,,,,,,1
"Betts, Mookie",,,,1,,,$20 ,,,,,,1
"Gregorius, Didi",,,,1,TA,,$7 ,,,,,,1
"Knapp, Andrew",,,,1,3,,$5 ,,,,,,1
Pitchers,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Nola, Aaron",,,,1,TB,,$10 ,$10 ,,,,,2
"Strahm, Matt",,,,1,3,,$2 ,$2 ,,,,,2
"Graterol, Brusdar",,,,1,3,,$5 ,$5 ,,,,,2
"Scherzer, Max",,,,1,3,,$5 ,$5 ,,,,,2
"May, Dustin",,,,1,TB,,$2 ,$2 ,,,,,2
"Newcombe, Sean",,,,1,3,,$2 ,,,,,,1
"Corbin, Patrick",,,,1,TA,Y,$7 ,,,,,,1
"Morton, Charlie",,,,1,3,,$37 ,,,,,,1
"Drake, Oliver",,,,1,3,,$5 ,,,,,,1
"Ray, Robbie",,,,1,3,,$1 ,,,,,,1
"Davies, Zach",,,,1,3,,$22 ,,,,,,1
"Anderson, Ian",,,,1,TB,,$21 ,,,,,,1
