Player,Classification,Arb Yr,Contract,,,Previous Salary
"Gallegos, Giovanny",Type C,3,$46 ,,,$29 
"Yelich, Christian",Type C,3,$30 ,,,$19 
"Cronenworth, Jake",Type C,3,$30 ,,,$19 
"Kelly, Merrill",Type C,3,$30 ,,,$19 
"Locastro, Tim",Type C,2,$29 ,,,$18 
"Smith, Burch",Type C,3,$26 ,,,$16 
"Smith, Dominic",Type C,2,$18 ,,,$11 
"Grandal, Yasmani",Type C,3,$14 ,,,$9 
"Gausman, Kevin",Type C,2,$13 ,,,$8 
"Matzek, Tyler",Type C,3,$8 ,,,$5 
"Hernandez, Jonathan",Type A,,,,,$5 
"Bogaerts, Xander",Type B,,,,,$12 
"Pollock, A.J.",Type B,,,,,$15 
