Player,Classification,Arb Yr,Contract,,,Previous Salary
"Hernandez, Teoscar",Type C,3,$29 ,,,$19 
"Bass, Anthony",Type C,3,$29 ,,,$19 
"Higashioka, Kyle",Type C,3,$18 ,,,$12 
"Dalbec, Bobby",Type C,3,$15 ,,,$10 
"Hauck, Tanner",Type C,3,$15 ,,,$10 
"Hatch, Tom",Type C,3,$15 ,,,$10 
"Hoyt, James",Type C,3,$14 ,,,$9 
"Quinn, Roman",Type C,3,$12 ,,,$8 
"Diekman, Jake",Type C,3,$12 ,,,$8 
"Smyly, Drew",Type C,3,$11 ,,,$7 
"Thielbar, Caleb",Type C,3,$11 ,,,$7 
"Villar, Jonathan",Type C,3,$8 ,,$4 ,$5 
"Zunino, Mike",Type C,3,$8 ,,$2 ,$5 
"Britton, Zach",Type C,3,$8 ,,$2 ,$5 
"Adames, Willy",Type C,3,$8 ,,$1 ,$5 
"Arenado, Nolan",Type B,,,,,$25 
"Clevinger, Mike",Type B,,,,,$17 
"Hernandez, Elieser",Type B,,,,,$15 
