Position Players,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Bellinger, Cody",,,,1,TA,,$37 ,$37 ,$37 ,,,,3
"Mercado, Oscar",,,,1,3,,$1 ,$1 ,,,,,2
"Lux, Gavin",,,,,3,,$4 ,$4 ,,,,,2
"Carlson, Dylan",,,,,3,,$3 ,$3 ,,,,,2
"Pache, Christian",,,,,3,,$2 ,$2 ,,,,,2
"Waters, Drew",,,,,3,,$2 ,$2 ,,,,,2
"Bohm, Alec",,,,1,3,,$2 ,$2 ,,,,,2
"Kirilloff, Alex",,,,,3,,$2 ,$2 ,,,,,2
"Margot, Manuel",,,,1,TA,,$8 ,$8 ,,,,,2
"Freeman, Freddie",,,,1,3,,$39 ,$39 ,,,,,2
"Solak, Nick",,,,1,3,,$4 ,$4 ,,,,,2
"Semien, Marcus",,,,1,3,,$2 ,$2 ,,,,,2
"Arozarena, Randy",,,,,3,,$4 ,$4 ,,,,,2
"Calhoun, Kole",,,,1,TB,,$5 ,$5 ,,,,,2
"Gomes, Yan",,,,1,TB,,$2 ,,,,,,1
"Tapia, Raimel",,,,1,TB,,$29 ,,,,,,1
"Meadows, Austin",,,,1,3,,$5 ,,,,,,1
"Rodgers, Brendan",,,,,3,,$2 ,,,,,,1
"Bichette, Bo",,,,1,3,,$2 ,,,,,,1
"Lewis, Royce",,,,,3,,$2 ,,,,,,1
"Gallo, Joey",,,,1,,,$7 ,,,,,,1
"Wendle, Joey",,,,1,3,,$1 ,,,,,,1
"Santana, Carlos",,,,1,B,,$3 ,,,,,,1
Pitchers,,,,40,A,NTC,2021,2022,2023,2024,2025,2026,Length
"Berrios, Jose",,,,1,,,$19 ,$19 ,$19 ,,,,3
"Hudson, Dakota",,,,1,3,,$3 ,$3 ,,,,,2
"Patino, Luis",,,,,3,,$2 ,$2 ,,,,,2
"Plesach, Zach",,,,1,,,$7 ,$7 ,,,,,2
"Garcia, Yimi",,,,1,,,$3 ,$3 ,,,,,2
"Bumgarner, Madison",,,,1,3,,$2 ,$2 ,,,,,2
"Liberatore, Matthew",,,,,3,,$1 ,$1 ,,,,,2
"Soroka, Mike",,,,1,3,,$2 ,,,,,,1
"Wright, Kyle",,,,1,,,$1 ,,,,,,1
"Watson, Tony",,,,1,,,$3 ,,,,,,1
