Player,Classification,Arb Yr,Contract,,,Previous Salary
"Flores, Wilmer",Type C,3,$9 ,,,$6 
"Pomeranz, Drew",Type C,3,$8 ,,$2 ,$5 
"Jansen, Danny",Type C,3,$8 ,,$1 ,$5 
"Pham, Tommy",Type C,3,$8 ,,$1 ,$5 
"Soderstrom, Tyler",Type C,3,$8 ,,$1 ,$5 
"Jones, Nolan",Type C,3,$8 ,,$1 ,$5 
"Garcia, Jarlin",Type C,3,$8 ,,$1 ,$5 
"Merryweather, John",Type C,3,$8 ,,$1 ,$5 
"Bedrosian, Cam",Type A,,,,,$8 
"Greene, Shane",Type A,,,,,$8 
"Donaldson, Josh",Type B,,,,,$19 
"Gomber, Austin",Type B,,,,,$6 
"Ruf, Darren",Type B,,,,,$3 
"Buehler, Walker",Type B,,,,,$2 
"Guerrero Jr., Vladimir",Type B,,,,,$1 
