Player,Classification,Arb Yr,Contract,,,Previous Salary
"Rosenthal, Trevor",Type C,,$29 ,,,$19 
"Brosseau, Mike",Type C,,$18 ,,,$12 
"Duvall, Adam",Type C,,$15 ,,,$10 
"Loup, Aaron",Type C,,$12 ,,,$8 
"Castro, Jason",Type C,,$8 ,,$1 ,$5 
"Cano, Robinson",Type C,,$8 ,,$1 ,$5 
"Miller, Andrew",Type C,,$8 ,,$1 ,$5 
"Gsellman, Robert",Type C,,$8 ,,$1 ,$5 
"Melancon, Mark",Type C,,$8 ,,$1 ,$5 
"DeGrom, Jacob",Type A,,,,,$37 
"Turner, Trea",Type B,,,,,$29 
"Clippard, Tyler",Type B,,,,,$20 
"Gallen, Zach",Type B,,,,,$17 
"Loaisiga, Johnathan",Type B,,,,,$5 
"Wheeler, Zack",Type B,,,,,$2 
