Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Buster Posey,SFG,113,395,454,120,79,23,0,18,68,56,56,5,87,1,2,0,15,0,0,0.304,9166
Kevin Plawecki,BOS,64,157,173,45,35,7,0,3,15,15,12,0,26,3,0,1,4,0,0,0.287,13807
Tyler Stephenson,CIN,132,350,402,100,69,21,0,10,56,45,41,1,75,6,5,0,11,0,0,0.286,17988
Salvador Perez,KCR,161,620,665,169,97,24,0,48,88,121,28,4,170,13,4,0,14,1,0,0.273,7304
Austin Nola,SDP,56,173,194,47,33,12,0,2,15,29,14,0,19,5,2,0,2,0,1,0.272,15941
Omar Narvaez,MIL,123,391,445,104,73,20,0,11,54,49,41,3,84,7,6,0,13,0,0,0.266,13338
Tres Barrera,WSN,30,91,107,24,18,3,1,2,8,10,12,2,22,4,0,0,3,0,0,0.264,19977
J.T. Realmuto,PHI,134,476,537,125,79,25,4,17,64,73,48,5,129,11,2,0,8,13,3,0.263,11739
Francisco Mejia,TBR,84,250,277,65,41,15,3,6,31,35,17,0,49,7,2,1,4,0,0,0.26,16403
Will Smith,LAD,130,414,501,107,61,19,2,25,71,76,58,4,101,18,11,0,11,3,0,0.258,19197
Christian Vazquez,BOS,138,458,498,118,88,23,1,6,51,49,33,0,84,2,4,1,15,8,4,0.258,9774
Mitch Garver,MIN,68,207,243,53,25,15,0,13,29,34,31,0,71,3,2,0,4,1,1,0.256,15161
Reese McGuire,TOR,78,198,217,50,34,15,0,1,22,10,15,0,44,2,1,1,4,0,0,0.253,15674
Yadier Molina,STL,121,440,473,111,81,19,0,11,45,66,24,1,79,5,3,0,16,3,0,0.252,7007
Yan Gomes,- - -,103,349,375,88,58,15,1,14,49,52,19,3,78,6,1,0,15,0,0,0.252,9627
Cam Gallagher,KCR,48,112,124,28,21,6,0,1,9,7,8,0,20,0,1,2,2,0,0,0.25,12981
Pedro Severino,BAL,113,379,419,94,65,18,0,11,32,46,34,1,109,1,5,0,9,0,0,0.248,14523
Tucker Barnhart,CIN,116,348,388,86,58,21,0,7,41,48,29,1,100,8,3,0,8,0,0,0.247,10200
Daulton Varsho,ARI,95,284,315,70,40,17,2,11,41,38,30,3,67,0,0,1,4,6,0,0.246,19918
Jacob Stallings,PIT,112,374,427,92,63,20,1,8,38,53,49,0,85,2,2,0,10,0,0,0.246,13723
Elias Diaz,COL,106,338,371,83,46,18,1,18,52,44,30,1,60,2,1,0,15,0,0,0.246,11680
Jorge Alfaro,MIA,92,295,311,72,52,15,1,4,22,30,11,0,99,5,0,0,8,8,1,0.244,12180
Luis Torrens,SEA,108,346,378,84,51,16,2,15,39,47,28,1,99,1,3,0,8,0,0,0.243,15905
Alejandro Kirk,TOR,60,165,189,40,24,8,0,8,19,24,19,0,22,3,2,0,7,0,0,0.242,22581
Max Stassi,LAA,87,282,319,68,43,11,1,13,45,35,28,0,101,8,1,0,8,0,0,0.241,10059
Yasmani Grandal,CHW,93,279,375,67,35,9,0,23,60,62,87,0,82,3,5,1,15,0,0,0.24,11368
Carson Kelly,ARI,98,304,359,73,48,11,1,13,41,46,44,1,74,6,5,0,10,0,0,0.24,13620
Jake Rogers,DET,38,113,127,27,13,5,3,6,17,17,11,0,46,0,0,3,0,1,0,0.239,19452
Jose Trevino,TEX,89,285,302,68,49,14,0,5,23,30,12,1,57,0,3,2,13,1,1,0.239,16725
Willson Contreras,CHC,128,413,483,98,57,20,0,21,61,57,52,1,138,14,4,0,11,5,4,0.237,11609
Jason Castro,HOU,66,149,179,35,20,7,0,8,22,21,25,1,54,3,0,2,4,0,0,0.235,8722
James McCann,NYM,121,375,412,87,64,12,1,10,29,46,32,1,115,2,3,0,12,1,2,0.232,12859
Eric Haase,DET,98,351,381,81,46,12,1,22,48,61,26,0,119,2,2,0,11,2,0,0.231,14111
Victor Caratini,SDP,116,313,356,71,55,9,0,7,33,39,35,8,82,4,4,0,13,2,0,0.227,14968
Robinson Chirinos,CHC,45,97,112,22,11,5,1,5,13,15,9,0,36,5,0,1,2,0,0,0.227,3142
Kurt Suzuki,LAA,72,219,247,49,35,8,0,6,17,16,12,0,44,11,3,2,7,0,0,0.224,8259
Danny Jansen,TOR,70,184,205,41,17,13,0,11,32,28,17,0,44,3,0,1,4,0,0,0.223,16535
Tomas Nido,NYM,58,153,161,34,25,5,1,3,16,13,5,1,44,3,0,0,4,1,0,0.222,13755
Riley Adams,- - -,47,99,120,22,11,8,1,2,13,10,15,0,40,6,0,0,2,0,0,0.222,19864
Travis d'Arnaud,ATL,60,209,229,46,25,14,0,7,21,26,17,0,53,2,1,0,7,0,0,0.22,7739
Sean Murphy,OAK,119,393,448,85,45,23,0,17,47,59,40,0,114,12,3,0,7,0,0,0.216,19352
Mike Zunino,TBR,109,333,375,72,26,11,2,33,64,62,34,0,132,7,1,0,7,0,0,0.216,13265
Austin Barnes,LAD,77,200,225,43,29,8,0,6,28,23,20,1,56,4,0,1,6,1,0,0.215,12158
