Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Neftali Feliz,2 Tms,2,10,9,0,2,0,0.2,0,0.2,0.33333333,1.5,0.42857143,0.75,2.670034122,2.670034122,18
Tommy Hunter,NYM,3.1,14,10.80000001,0,4,0,0.28571429,0,0.28571429,0.16666667,0.6,0.22222222,1,1.670034122,2.728651398,1157
Andrew Romine,CHC,0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,1,-2.829965938,-2.829965938,1159
Matt Bush,TEX,1.2,6,16.19999997,5.39999999,3,0,0.5,0.16666667,0.33333333,0,0.6,0,1,1.370034122,3.487268674,1246
Adam Ottavino,BOS,20.2,101,11.75806451,4.79032258,2.45454545,0,0.26732673,0.10891089,0.15841584,0.27380952,1.64516129,0.38983051,0.65789474,2.734550252,4.185880388,1247
Oliver Perez,CLE,1.1,6,0,0,0,0,0,0,0,0.33333333,1.5,0.33333333,1,3.170034122,7.139848917,1514
Sean Doolittle,2 Tms,24.1,99,11.09589041,2.5890411,4.28571429,0.73972603,0.3030303,0.07070707,0.23232323,0.22222222,1.10958904,0.3,0.53719008,2.635787542,3.815043407,1581
Matt Moore,PHI,22.2,100,7.54411765,3.17647059,2.375,1.19117647,0.19,0.08,0.11,0.28888889,1.5,0.32857143,0.73825503,4.272975302,4.187016681,1890
Zack Greinke,HOU,72.2,275,5.5733945,1.85779817,3,0.99082569,0.16363636,0.05454545,0.10909091,0.19921875,0.90825688,0.20772947,0.78467153,3.981960732,3.861899556,1943
Clayton Kershaw,LAD,36.2,135,9.08181818,1.47272727,6.16666667,0.24545455,0.27407407,0.04444444,0.22962963,0.17829457,0.79090909,0.24175824,0.61594203,1.997306852,3.038211441,2036
David Peralta,ARI,0.1,3,27.00000027,0,1,27.00000027,0.33333333,0,0.33333333,0.5,3.00000003,0,-1.66666667,45.17003454,11.46312059,2136
Adam Wainwright,STL,105,428,7.37142857,2.22857143,3.30769231,0.85714286,0.20093458,0.06074766,0.14018692,0.22921914,1.11428571,0.26910299,0.76851852,3.655748412,4.047587706,2233
Corey Kluber,NYY,32,134,10.6875,2.53125,4.22222222,0,0.28358209,0.06716418,0.21641791,0.21848739,1.09375,0.30952381,0.73684211,1.920034122,3.629259933,2429
Lance Lynn,CHW,76.1,325,9.90393013,3.65502183,2.70967742,1.1790393,0.25846154,0.09538462,0.16307692,0.22680412,1.27074236,0.28140704,0.80952381,3.929859452,4.376396713,2520
Jhoulys Chacin,COL,32.1,138,5.84536083,5.28865979,1.10526316,0.83505155,0.15217391,0.13768116,0.01449275,0.20168067,1.32989691,0.22105263,0.85051546,4.840137212,5.489260276,2608
