Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,playerid
Shane Bieber,CLE,8,1,0,12,12,77.1,14.2,2.44,0.81,0.267,91.10%,48.40%,15.20%,94.3,1.63,2.54,2.07,2.04,3.1,19427
Yu Darvish,CHC,8,3,0,12,12,76,11.01,1.66,0.59,0.295,83.80%,43.20%,8.80%,96.1,2.01,2.99,2.23,2.82,3,13074
Jacob deGrom,NYM,4,2,0,12,12,68,13.76,2.38,0.93,0.288,79.70%,42.50%,13.00%,98.7,2.38,2.7,2.26,2.46,2.6,10954
Trevor Bauer,CIN,5,4,0,11,11,73,12.33,2.1,1.11,0.215,90.90%,34.40%,12.00%,93.7,1.73,2.13,2.88,3.25,2.5,12703
Dinelson Lamet,SDP,3,1,0,12,12,69,12.13,2.61,0.65,0.234,80.40%,36.90%,7.90%,97,2.09,2.81,2.48,3.3,2.4,17186
Corbin Burnes,MIL,4,1,0,12,9,59.2,13.27,3.62,0.3,0.285,80.10%,46.40%,4.70%,95.8,2.11,3.13,2.03,2.99,2.4,19361
Luis Castillo,CIN,4,6,0,12,12,70,11.44,3.09,0.64,0.329,70.00%,58.40%,12.50%,97.6,3.21,2.97,2.65,2.82,2.4,15689
German Marquez,COL,4,6,0,13,13,81.2,8.04,2.76,0.66,0.3,65.50%,50.60%,9.40%,96,3.75,4.21,3.28,3.83,2.3,15038
Zack Greinke,HOU,3,3,0,12,12,67,9,1.21,0.81,0.321,68.50%,41.20%,9.20%,88,4.03,3.79,2.8,3.51,2.2,1943
Kenta Maeda,MIN,6,1,0,11,11,66.2,10.8,1.35,1.21,0.208,80.20%,49.00%,18.80%,91.8,2.7,2.73,3,2.63,2.1,18498
Brandon Woodruff,MIL,3,5,0,13,13,73.2,11.12,2.2,1.1,0.269,79.20%,49.40%,14.10%,96.8,3.05,2.86,3.2,3.29,2.1,16162
Dylan Bundy,LAA,6,3,0,11,11,65.2,9.87,2.33,0.69,0.272,69.20%,40.60%,8.20%,90.1,3.29,3.02,2.95,3.75,2,12917
Framber Valdez,HOU,5,3,0,11,10,70.2,9.68,2.04,0.64,0.312,67.50%,60.00%,13.50%,93.9,3.57,3.79,2.85,2.94,2,17295
Lucas Giolito,CHW,4,3,0,12,12,72.1,12.07,3.48,1,0.255,69.90%,41.30%,13.30%,94.2,3.48,3.04,3.19,3.35,2,15474
Aaron Nola,PHI,5,5,0,12,12,71.1,12.11,2.9,1.14,0.283,72.30%,49.70%,19.60%,93.1,3.28,3.37,3.19,2.79,2,16149
Marco Gonzales,SEA,7,2,0,11,11,69.2,8.27,0.9,1.03,0.263,73.10%,37.60%,9.60%,88.4,3.1,3.76,3.32,4.13,2,15467
Zack Wheeler,PHI,4,2,0,11,11,71,6.72,2.03,0.38,0.306,74.60%,55.90%,7.50%,97.1,2.92,3.55,3.22,3.76,2,10310
Kyle Hendricks,CHC,6,5,0,12,12,81.1,7.08,0.89,1.11,0.272,82.40%,47.10%,13.00%,87.6,2.88,3.08,3.55,3.78,1.9,12049
Hyun-Jin Ryu,TOR,5,2,0,12,12,67,9.67,2.28,0.81,0.302,80.50%,51.10%,11.80%,89.9,2.69,3.11,3.01,3.32,1.9,14444
Tony Gonsolin,LAD,2,2,0,9,8,46.2,8.87,1.35,0.39,0.25,72.60%,34.20%,4.00%,95.1,2.31,3.33,2.29,3.8,1.9,19388
Max Scherzer,WSN,5,4,0,12,12,67.1,12.3,3.07,1.34,0.355,80.00%,33.00%,14.30%,94.9,3.74,4.33,3.46,3.53,1.8,3137
Dallas Keuchel,CHW,6,2,0,11,11,63.1,5.97,2.42,0.28,0.255,81.60%,52.80%,4.70%,88.5,1.99,4.3,3.08,3.98,1.8,9434
Sonny Gray,CIN,5,3,0,11,11,56,11.57,4.18,0.64,0.29,68.30%,51.10%,12.90%,93.3,3.7,3.9,3.05,3.19,1.7,12768
Rick Porcello,NYM,1,7,0,12,12,59,8.24,2.29,0.76,0.373,59.50%,37.80%,7.60%,91.7,5.64,5.24,3.33,4.38,1.6,2717
Pablo Lopez,MIA,6,4,0,11,11,57.1,9.26,2.83,0.63,0.293,66.80%,52.20%,8.70%,94.1,3.61,3.16,3.09,3.73,1.6,17085
Kevin Gausman,SFG,3,3,0,12,10,59.2,11.92,2.41,1.21,0.296,73.00%,41.90%,15.10%,95.1,3.62,3.58,3.09,3.06,1.6,14107
Justus Sheffield,SEA,4,3,0,10,10,55.1,7.81,3.25,0.33,0.314,72.00%,50.60%,4.40%,92.6,3.58,4.16,3.17,4.27,1.6,17285
Max Fried,ATL,7,0,0,11,11,56,8.04,3.05,0.32,0.268,82.00%,53.00%,4.90%,93.3,2.25,2.81,3.1,4.05,1.5,13743
Zach Eflin,PHI,4,2,0,11,10,59,10.68,2.29,1.22,0.344,74.10%,47.40%,16.30%,94.5,3.97,3.3,3.39,3.23,1.5,13774
Andrew Heaney,LAA,4,3,0,12,12,66.2,9.45,2.56,1.21,0.302,68.60%,39.00%,12.30%,,4.45,4.39,3.79,4.15,1.5,15423
Zac Gallen,ARI,3,2,0,12,12,72,10.25,3.13,1.13,0.266,83.60%,45.60%,15.30%,93.2,2.75,3.6,3.66,3.62,1.5,19291
Zach Plesac,CLE,4,2,0,8,8,55.1,9.27,0.98,1.3,0.224,91.70%,39.30%,14.00%,92.9,2.28,3.43,3.39,3.5,1.4,19979
Carlos Carrasco,CLE,3,4,0,12,12,68,10.85,3.57,1.06,0.292,85.20%,44.30%,14.30%,93.9,2.91,3.79,3.59,3.65,1.4,6632
Gerrit Cole,NYY,7,3,0,12,12,73,11.59,2.1,1.73,0.242,85.90%,37.40%,18.70%,96.9,2.84,3.08,3.89,3.38,1.4,13125
Clayton Kershaw,LAD,6,2,0,10,10,58.1,9.57,1.23,1.23,0.232,82.50%,53.00%,17.40%,91.6,2.16,3.06,3.31,3.05,1.4,2036
Lance Lynn,TEX,6,3,0,13,13,84,9.54,2.68,1.39,0.242,79.40%,36.00%,13.80%,94.2,3.32,3.28,4.19,4.34,1.4,2520
Spencer Turnbull,DET,4,4,0,11,11,56.2,8.1,4.61,0.32,0.285,70.50%,50.00%,4.50%,93.9,3.97,5.48,3.49,4.53,1.4,16207
Zach Davies,SDP,7,4,0,12,12,69.1,8.18,2.47,1.17,0.249,78.20%,41.30%,12.90%,,2.73,5.13,3.88,4.14,1.3,13183
Chris Bassitt,OAK,5,2,0,11,11,63,7.86,2.43,0.86,0.276,85.60%,43.80%,8.60%,93.6,2.29,3.79,3.59,4.49,1.3,12304
Julio Urias,LAD,3,0,0,11,10,55,7.36,2.95,0.82,0.256,76.80%,32.90%,6.90%,94.2,3.27,3.48,3.72,5.06,1.3,14765
Brad Keller,KCR,5,3,0,9,9,54.2,5.76,2.8,0.33,0.233,76.10%,52.80%,5.10%,93.1,2.47,4.42,3.43,4.33,1.3,15734
Patrick Corbin,WSN,2,7,0,11,11,65.2,8.22,2.47,1.37,0.362,76.40%,43.70%,15.20%,90.4,4.66,5.17,4.17,4.12,1.2,9323
Lance McCullers Jr.,HOU,3,3,0,11,11,55,9.16,3.27,0.82,0.277,64.50%,59.70%,15.20%,94,3.93,4.61,3.7,3.68,1.1,14120
Aaron Civale,CLE,4,6,0,12,12,74,8.39,1.95,1.34,0.333,72.40%,44.20%,15.70%,91.4,4.74,4.42,4.03,3.92,1.1,19479
Tyler Glasnow,TBR,5,1,0,11,11,57.1,14.28,3.45,1.73,0.281,78.60%,38.70%,23.40%,97.2,4.08,3.13,3.66,2.75,1.1,14374
Yusei Kikuchi,SEA,2,4,0,9,9,47,9,3.83,0.57,0.306,59.90%,52.00%,9.40%,95.1,5.17,3.4,3.3,3.78,1.1,20633
Jose Berrios,MIN,5,4,0,12,12,63,9.71,3.71,1.14,0.295,77.50%,40.40%,13.10%,94.7,4,4.45,4.06,4.28,1.1,14168
Sean Manaea,OAK,4,3,0,11,11,54,7.5,1.33,1.17,0.311,60.50%,50.30%,14.30%,90.5,4.5,3.93,3.71,3.77,1.1,15873
Ian Anderson,ATL,3,2,0,6,6,32.1,11.41,3.9,0.28,0.25,73.00%,52.50%,4.50%,94.3,1.95,2.46,2.54,3.45,1.1,19951
Antonio Senzatela,COL,5,3,0,12,12,73.1,5.03,2.21,1.1,0.268,79.60%,50.80%,12.90%,94.4,3.44,4.64,4.57,4.81,1.1,15488
Tyler Mahle,CIN,2,2,0,10,9,47.2,11.33,3.97,1.13,0.255,75.10%,29.30%,10.30%,94.1,3.59,3.37,3.88,4.59,1.1,16358
Brady Singer,KCR,4,5,0,12,12,64.1,8.53,3.22,1.12,0.26,72.90%,53.10%,15.10%,93,4.06,3.85,4.08,4.05,1,25377
Joe Musgrove,PIT,1,5,0,8,8,39.2,12.48,3.63,1.13,0.318,77.30%,48.40%,17.20%,92.9,3.86,3.11,3.42,3.19,1,12970
Adam Wainwright,STL,5,3,0,10,10,65.2,7.4,2.06,1.23,0.247,78.80%,43.40%,13.80%,89.4,3.15,4.52,4.11,4.23,1,2233
Kyle Freeland,COL,2,3,0,13,13,70.2,5.86,2.93,1.15,0.305,76.30%,51.50%,15.80%,92.3,4.33,5.13,4.65,4.55,1,16256
Mike Mayers,LAA,2,0,2,29,0,30,12.9,2.7,0.6,0.242,71.40%,32.80%,6.30%,94.3,2.1,2.4,2.19,3.38,1,15451
Sixto Sanchez,MIA,3,2,0,7,7,39,7.62,2.54,0.69,0.303,75.90%,58.00%,9.40%,98.8,3.46,2.99,3.5,4.08,1,19680
