Name,Team,G,PA,HR,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Trea Turner,- - -,148,646,28,32,6.30%,17.00%,0.208,0.362,0.328,0.375,0.536,0.386,0.362,142,5,39.5,7.6,6.9,16252
Vladimir Guerrero Jr.,TOR,161,698,48,4,12.30%,15.80%,0.29,0.313,0.311,0.401,0.601,0.419,0.416,166,-2.1,54.1,-11.1,6.7,19611
Bryce Harper,PHI,141,599,35,13,16.70%,22.40%,0.305,0.359,0.309,0.429,0.615,0.431,0.43,170,-2.5,50.7,-4.4,6.6,11579
Marcus Semien,TOR,162,724,45,15,9.10%,20.20%,0.273,0.276,0.265,0.334,0.538,0.368,0.331,131,4,31.5,10,6.6,12533
Juan Soto,WSN,151,654,29,9,22.20%,14.20%,0.221,0.332,0.313,0.465,0.534,0.42,0.43,163,-3.3,48.8,-4.3,6.6,20123
Jose Ramirez,CLE,152,636,36,27,11.30%,13.70%,0.272,0.256,0.266,0.355,0.538,0.372,0.374,137,6.3,35.4,5.8,6.3,13510
Fernando Tatis Jr.,SDP,130,546,42,25,11.40%,28.00%,0.328,0.324,0.282,0.364,0.611,0.403,0.406,156,9.3,48.5,-5.3,6.1,19709
Carlos Correa,HOU,148,640,26,0,11.70%,18.10%,0.205,0.308,0.279,0.366,0.485,0.364,0.373,134,-0.6,26.4,9.6,5.8,14162
Starling Marte,- - -,120,526,12,47,8.20%,18.80%,0.148,0.372,0.31,0.383,0.458,0.364,0.347,134,12.3,34.7,2.6,5.5,9241
Aaron Judge,NYY,148,633,39,6,11.80%,25.00%,0.256,0.332,0.287,0.373,0.544,0.387,0.416,148,-0.1,37.5,-4.2,5.5,15640
Bryan Reynolds,PIT,159,646,24,5,11.60%,18.40%,0.22,0.345,0.302,0.39,0.522,0.385,0.385,142,3,37.6,-4.4,5.5,19326
Brandon Crawford,SFG,138,549,24,11,10.20%,19.10%,0.224,0.334,0.298,0.373,0.522,0.377,0.356,139,0.4,27.8,8.6,5.5,5343
Tyler O'Neill,STL,138,537,34,15,7.10%,31.30%,0.274,0.366,0.286,0.352,0.56,0.384,0.391,145,4.7,35.1,0.9,5.4,15711
Cedric Mullins II,BAL,159,675,30,30,8.70%,18.50%,0.228,0.322,0.291,0.36,0.518,0.372,0.344,136,4.8,34.2,-3.9,5.3,17929
Brandon Lowe,TBR,149,615,39,7,11.10%,27.20%,0.277,0.28,0.247,0.34,0.523,0.363,0.36,137,4.9,32.8,-1.7,5.2,18882
Xander Bogaerts,BOS,144,603,23,5,10.30%,18.70%,0.198,0.333,0.295,0.37,0.493,0.368,0.358,130,1.2,23.7,7.7,5.2,12161
Jose Altuve,HOU,146,678,31,5,9.70%,13.40%,0.211,0.28,0.278,0.35,0.489,0.357,0.332,130,2.5,27.2,1.3,5.2,5417
Shohei Ohtani,LAA,158,639,46,26,15.00%,29.60%,0.335,0.303,0.257,0.372,0.592,0.393,0.408,152,2.5,43,-13.6,5.1,19755
Matt Olson,OAK,156,673,39,4,13.10%,16.80%,0.269,0.269,0.271,0.371,0.54,0.379,0.379,146,0,37.8,-10.5,5,14344
Buster Posey,SFG,113,454,18,0,12.30%,19.20%,0.195,0.349,0.304,0.39,0.499,0.379,0.361,140,-2.9,20.4,13.8,4.9,9166
Paul Goldschmidt,STL,158,679,31,12,9.90%,20.00%,0.221,0.331,0.294,0.365,0.514,0.373,0.396,138,2.3,34.9,-8.2,4.9,9218
Bo Bichette,TOR,159,690,29,25,5.80%,19.90%,0.186,0.339,0.298,0.343,0.484,0.354,0.354,122,6.9,25.2,0.2,4.9,19612
Max Muncy,LAD,144,592,36,2,14.00%,20.30%,0.278,0.257,0.249,0.368,0.527,0.379,0.406,140,2.1,32.1,-3,4.9,13301
Kyle Tucker,HOU,140,567,30,14,9.30%,15.90%,0.263,0.304,0.294,0.359,0.557,0.383,0.399,147,2.4,35.2,-6.8,4.8,18345
Rafael Devers,BOS,156,664,38,5,9.30%,21.50%,0.259,0.307,0.279,0.352,0.538,0.373,0.392,134,0.1,27.6,-3.6,4.7,17350
Will Smith,LAD,130,501,25,3,11.60%,20.20%,0.237,0.274,0.258,0.365,0.495,0.364,0.363,130,-1,18.4,11.1,4.6,19197
Mike Zunino,TBR,109,375,33,0,9.10%,35.20%,0.342,0.231,0.216,0.301,0.559,0.358,0.354,134,0.6,16.1,16.3,4.5,13265
Yoan Moncada,CHW,144,616,14,3,13.60%,25.50%,0.148,0.35,0.263,0.375,0.412,0.347,0.351,122,0.3,16.6,7.4,4.5,17232
Freddie Freeman,ATL,159,695,31,8,12.20%,15.40%,0.203,0.321,0.3,0.393,0.503,0.379,0.416,135,3.3,34.4,-12.6,4.5,5361
J.T. Realmuto,PHI,134,537,17,13,8.90%,24.00%,0.176,0.325,0.263,0.343,0.439,0.336,0.329,108,5.5,10.9,15.4,4.4,11739
Jake Cronenworth,SDP,152,643,21,4,8.60%,14.00%,0.194,0.283,0.266,0.34,0.46,0.341,0.344,116,2.1,15.4,7.4,4.4,18036
Manny Machado,SDP,153,640,28,12,9.80%,15.90%,0.211,0.29,0.278,0.347,0.489,0.35,0.38,122,-2.1,15.8,6.9,4.4,11493
Nicky Lopez,KCR,151,565,2,22,8.70%,13.10%,0.078,0.347,0.3,0.365,0.378,0.329,0.283,106,8.2,12.6,11.7,4.4,19339
Tim Anderson,CHW,123,551,17,18,4.00%,21.60%,0.159,0.372,0.309,0.338,0.469,0.345,0.325,120,6.1,19.6,4.5,4.3,15172
Ronald Acuna Jr.,ATL,82,360,24,17,13.60%,23.60%,0.313,0.311,0.283,0.394,0.596,0.412,0.427,157,3.8,29.7,0.4,4.2,18401
Austin Riley,ATL,160,662,33,0,7.90%,25.40%,0.227,0.368,0.303,0.367,0.531,0.379,0.364,135,-4.1,25.8,-6,4.2,18360
Nick Castellanos,CIN,138,585,34,3,7.00%,20.70%,0.267,0.34,0.309,0.362,0.576,0.391,0.374,140,-0.5,29.6,-7.4,4.2,11737
Byron Buxton,MIN,61,254,19,9,5.10%,24.40%,0.34,0.344,0.306,0.358,0.647,0.419,0.405,169,4.4,25.9,6.9,4.2,14161
Ozzie Albies,ATL,156,686,30,20,6.90%,18.70%,0.229,0.278,0.259,0.31,0.488,0.336,0.332,107,8.3,14.5,4.4,4.2,16556
Willy Adames,- - -,140,555,25,5,10.30%,28.10%,0.219,0.331,0.262,0.337,0.481,0.349,0.326,119,0.2,13.8,8.3,4.1,15986
Nolan Arenado,STL,157,653,34,2,7.70%,14.70%,0.239,0.249,0.255,0.312,0.494,0.336,0.312,113,-0.4,10.7,7.8,4,9777
Justin Turner,LAD,151,612,27,3,10.00%,16.00%,0.193,0.292,0.278,0.361,0.471,0.358,0.359,127,-1,19.9,-0.1,4,5235
Enrique Hernandez,BOS,134,585,20,1,10.40%,18.80%,0.199,0.278,0.25,0.337,0.449,0.338,0.347,110,3,10.2,9.3,3.9,10472
Jonathan India,CIN,150,631,21,12,11.30%,22.30%,0.19,0.326,0.269,0.376,0.459,0.363,0.355,122,-0.9,16.6,1.9,3.9,21523
Jorge Polanco,MIN,152,644,33,11,7.00%,18.30%,0.235,0.282,0.269,0.323,0.503,0.349,0.347,122,3.1,20.6,-3.3,3.9,13152
Teoscar Hernandez,TOR,143,595,32,12,6.10%,24.90%,0.227,0.352,0.296,0.346,0.524,0.369,0.367,132,2.3,25.5,-6.9,3.9,13066
Mookie Betts,LAD,122,550,23,10,12.40%,15.60%,0.223,0.276,0.264,0.367,0.487,0.365,0.356,131,-1.2,20.7,-0.1,3.9,13611
Yasmani Grandal,CHW,93,375,23,0,23.20%,21.90%,0.28,0.246,0.24,0.42,0.52,0.402,0.414,159,-4.7,22.3,2.1,3.7,11368
Myles Straw,- - -,158,638,4,30,10.50%,19.00%,0.076,0.336,0.271,0.349,0.348,0.311,0.306,98,6.1,4.3,10.9,3.7,17620
Corey Seager,LAD,95,409,16,1,11.70%,16.10%,0.215,0.336,0.306,0.394,0.521,0.389,0.393,147,-1.9,22.4,0.8,3.7,13624
Yordan Alvarez,HOU,144,598,33,1,8.40%,24.20%,0.253,0.32,0.277,0.346,0.531,0.369,0.389,138,0.5,28.6,-12.5,3.7,19556
Joey Votto,CIN,129,533,36,1,14.40%,23.80%,0.297,0.287,0.266,0.375,0.563,0.391,0.406,140,0.4,27.9,-9.1,3.6,4314
Javier Baez,- - -,138,547,31,18,5.10%,33.60%,0.229,0.352,0.265,0.319,0.494,0.344,0.324,116,3,14.1,4.2,3.6,12979
Kris Bryant,- - -,144,586,25,10,10.60%,23.00%,0.216,0.313,0.265,0.353,0.481,0.356,0.346,123,5.4,22.5,-6.3,3.6,15429
Trevor Story,COL,142,595,24,20,8.90%,23.40%,0.221,0.293,0.251,0.329,0.471,0.341,0.333,100,6.4,6.1,9.6,3.5,12564
Joey Gallo,- - -,153,616,38,6,18.00%,34.60%,0.259,0.246,0.199,0.351,0.458,0.348,0.354,123,4.2,21.2,-6.9,3.5,14128
Ty France,SEA,152,650,18,0,7.10%,16.30%,0.154,0.327,0.291,0.368,0.445,0.353,0.345,129,-2.7,20.7,-8,3.5,17982
Brandon Nimmo,NYM,92,386,8,5,14.00%,20.50%,0.145,0.366,0.292,0.401,0.437,0.369,0.349,137,-0.9,17.3,4.4,3.5,12927
Matt Chapman,OAK,151,622,27,3,12.90%,32.50%,0.193,0.272,0.21,0.314,0.403,0.311,0.321,101,2,2.5,10.8,3.4,16505
Adam Frazier,- - -,155,639,5,10,7.50%,10.80%,0.106,0.339,0.305,0.368,0.411,0.341,0.323,114,-0.1,11.3,2,3.4,15223
Harrison Bader,STL,103,401,16,9,6.70%,21.20%,0.193,0.306,0.267,0.324,0.46,0.331,0.294,110,2.5,7.6,12.9,3.4,18030
Yuli Gurriel,HOU,143,605,15,1,9.80%,11.20%,0.143,0.336,0.319,0.383,0.462,0.363,0.326,134,-1.6,23.6,-10.7,3.4,19198
Salvador Perez,KCR,161,665,48,1,4.20%,25.60%,0.271,0.298,0.273,0.316,0.544,0.359,0.372,127,-0.8,21.2,-10.3,3.4,7304
Brandon Belt,SFG,97,381,29,3,12.60%,27.00%,0.323,0.309,0.274,0.378,0.597,0.406,0.374,158,-2.1,26.2,-5.4,3.3,10264
Randy Arozarena,TBR,141,604,20,20,9.30%,28.10%,0.185,0.363,0.274,0.356,0.459,0.35,0.302,128,1.5,22,-9.6,3.3,19290
Sean Murphy,OAK,119,448,17,0,8.90%,25.40%,0.188,0.257,0.216,0.306,0.405,0.309,0.335,99,-1.2,-1.7,19.1,3.3,19352
Whit Merrifield,KCR,162,720,10,40,5.60%,14.30%,0.117,0.309,0.277,0.317,0.395,0.306,0.301,91,7.4,-0.3,8.3,3.2,11281
Jesse Winker,CIN,110,485,24,1,10.90%,15.50%,0.251,0.324,0.305,0.394,0.556,0.403,0.389,148,-6.5,23.3,-7.4,3.2,13590
Luis Robert,CHW,68,296,13,6,4.70%,20.60%,0.229,0.394,0.338,0.378,0.567,0.399,0.375,157,1.4,21.9,-0.1,3.2,20043
Jeimer Candelario,DET,149,626,16,0,10.40%,21.60%,0.172,0.333,0.271,0.351,0.443,0.344,0.357,119,1,15.3,-4.7,3.2,13621
Dansby Swanson,ATL,160,653,27,9,8.00%,25.60%,0.201,0.297,0.248,0.311,0.449,0.322,0.331,98,3.4,2,8.1,3.2,18314
J.P. Crawford,SEA,160,687,9,3,8.40%,16.60%,0.103,0.32,0.273,0.338,0.376,0.314,0.297,103,-2.7,-0.2,8.1,3.1,15491
Chris Taylor,LAD,148,582,20,13,10.80%,28.70%,0.183,0.337,0.254,0.344,0.438,0.338,0.329,113,6.5,16.5,-5,3.1,13757
Kyle Schwarber,- - -,113,471,32,1,13.60%,27.00%,0.288,0.306,0.266,0.374,0.554,0.392,0.399,145,-1.6,24.8,-10,3.1,16478
Pete Alonso,NYM,152,637,37,3,9.40%,19.90%,0.257,0.274,0.262,0.344,0.519,0.363,0.376,133,-5.1,21.6,-12.7,3,19251
Eduardo Escobar,- - -,146,599,28,1,8.00%,20.70%,0.219,0.279,0.253,0.314,0.472,0.334,0.326,107,0.4,5.4,4.6,3,6153
A.J. Pollock,LAD,117,422,21,9,7.10%,19.00%,0.24,0.326,0.297,0.355,0.536,0.375,0.362,137,0.6,20.7,-4.9,3,9256
Kolten Wong,MIL,116,492,14,12,6.30%,16.90%,0.175,0.305,0.272,0.335,0.447,0.337,0.308,109,1.4,6.8,6.3,2.9,12532
Avisail Garcia,MIL,135,515,29,8,7.40%,23.50%,0.228,0.291,0.262,0.33,0.49,0.346,0.366,115,-0.5,9.1,3.1,2.9,5760
Max Stassi,LAA,87,319,13,0,8.80%,31.70%,0.184,0.325,0.241,0.326,0.426,0.327,0.318,107,-1.4,1.2,17.1,2.9,10059
