Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
Todd Frazier,PIT,11,0.18181818,0.18181818,1,0.125,0.36363636,0.25,0.61363636,0.125,0.16666667,1.239659857,-0.092400652,0.304273828,89.66372866,785
Tommy Hunter,NYM,1,0,0,0,1,1,1,2,0,1,0.58825798,0.46716157,0.879055321,468.4154883,1157
Andrew Romine,CHC,20,0,0.55,0,0.15,0.15,0.15,0.3,0,0.33333333,-0.599129703,-3.0210579,0.131858298,-24.33940792,1159
Albert Pujols,2 Tms,146,0.05479452,0.14383562,0.38095238,0.29411765,0.33561644,0.60294118,0.93855762,0.30882353,0.26213592,26.49813355,8.818057713,0.38735584,145.8136499,1177
Wilson Ramos,2 Tms,43,0.06976744,0.23255814,0.3,0.175,0.23255814,0.275,0.50755814,0.1,0.20689655,2.061664149,-3.145481475,0.226013753,38.73466366,1433
Miguel Cabrera,DET,150,0.1,0.22,0.45454545,0.26865672,0.34,0.35820896,0.69820896,0.08955224,0.33333333,17.60841003,-0.556051446,0.309946022,95.42496507,1744
Matt Moore,PHI,9,0,0.77777778,0,0,0,0,0,0,0,-1.251478399,-2.341346087,0,-100,1890
Zack Greinke,HOU,2,0,0.5,0,0,0,0,0,0,0,-0.278106311,-0.520299131,0,-100,1943
Clayton Kershaw,LAD,7,0,0.28571429,0,0.14285714,0.14285714,0.14285714,0.28571428,0,0.2,-0.246060953,-1.093735822,0.125579332,-24.58581853,2036
David Peralta,ARI,92,0.05434783,0.17391304,0.3125,0.26744186,0.31521739,0.41860465,0.73382204,0.15116279,0.31884058,11.29697127,0.15610156,0.316477215,94.79208095,2136
Adam Wainwright,STL,20,0.05,0.3,0.16666667,0.13333333,0.1875,0.2,0.3875,0.06666667,0.22222222,0.127603688,-2.294324509,0.17577615,9.298453227,2233
Carlos Santana,KCR,190,0.07894737,0.11052632,0.71428571,0.28323699,0.34210526,0.37572254,0.7178278,0.09248555,0.30201342,23.0193748,0.011056925,0.314496788,96.75923672,2396
Nelson Cruz,2 Tms,194,0.07731959,0.20103093,0.38461538,0.31578947,0.375,0.5380117,0.9130117,0.22222223,0.352,33.37273968,9.880036163,0.376535463,142.2507715,2434
Pete Kozma,OAK,3,0,0.33333333,0,0,0,0,0,0,0,-0.417159466,-0.780448696,0,-100,2539
Manny Pina,MIL,92,0.13043478,0.13043478,1,0.22077922,0.34782609,0.50649351,0.8543196,0.28571429,0.18644068,15.02809681,3.887227107,0.365494359,127.3182851,2829
Ross Detwiler,MIA,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,2859
Roberto Perez,CLE,61,0.13114754,0.29508197,0.44444444,0.17307692,0.29508197,0.40384615,0.69892812,0.23076923,0.16666667,6.97071174,-0.416169262,0.306180589,92.91254124,2900
Tommy Pham,SDP,154,0.18181818,0.23376623,0.77777778,0.2016129,0.35064935,0.33870968,0.68935903,0.13709678,0.24705882,17.66634497,-0.982502147,0.306715486,94.02834088,2967
Mitch Moreland,OAK,44,0.09090909,0.31818182,0.28571429,0.15384615,0.22727273,0.33333333,0.56060606,0.17948718,0.16666667,2.70044944,-2.627792593,0.242243543,53.75488406,3086
Max Scherzer,2 Tms,19,0,0.42105263,0,0,0,0,0,0,0,-2.642009953,-4.94284174,0,-100,3137
Robinson Chirinos,CHC,38,0.13157895,0.34210526,0.38461538,0.1875,0.31578947,0.46875,0.78453947,0.28125,0.23529412,5.304390696,0.702727122,0.336777562,108.7982827,3142
David Price,LAD,3,0,0,0,0.33333333,0.33333333,0.33333333,0.66666666,0,0.33333333,0.310151669,-0.053137561,0.29301844,84.2007147,3184
Tyler Ladendorf,CHC,1,0,0,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,3211
Charlie Culberson,TEX,144,0.04166667,0.16666667,0.25,0.34586466,0.37588652,0.55639098,0.9322775,0.21052632,0.39622642,26.6596368,9.221753778,0.391827528,151.9394594,3298
Matt Joyce,PHI,14,0.14285714,0.35714286,0.4,0.09090909,0.28571429,0.36363636,0.64935065,0.27272727,0,1.455338806,-0.240010932,0.293706013,80.6551494,3353
Drew Butera,LAA,6,0,0.66666667,0,0.16666667,0.16666667,0.33333333,0.5,0.16666666,0.5,0.192992232,-0.533586227,0.206941088,25.59543784,3411
Jeff Mathis,ATL,3,0,0.33333333,0,0,0,0,0,0,0,-0.417159466,-0.780448696,0,-100,3448
Anthony Rizzo,2 Tms,171,0.06432749,0.0994152,0.64705882,0.32450331,0.39766082,0.50331126,0.90097208,0.17880795,0.328125,31.26393686,10.55645078,0.389040016,145.2698595,3473
