Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
Todd Frazier,PIT,29,0.03448276,0.13793103,0.25,0.07407407,0.13793103,0.07407407,0.2120051,0,0.08695652,-1.408296972,-4.920092858,0.109371023,-36.96618821,785
Andrew Romine,CHC,44,0.09090909,0.29545455,0.30769231,0.2,0.27272727,0.325,0.59772727,0.125,0.26923077,3.522233295,-1.806008738,0.264817147,62.04502364,1159
Albert Pujols,2 Tms,150,0.04,0.16,0.25,0.17985612,0.23333333,0.26618705,0.49952038,0.08633093,0.1875,6.489150037,-11.67531144,0.220352676,35.99123958,1177
Wilson Ramos,2 Tms,120,0.05,0.21666667,0.23076923,0.21621622,0.25423729,0.44144144,0.69567873,0.22522522,0.21518987,12.43508876,-2.096480427,0.293137583,84.19247648,1433
Miguel Cabrera,DET,376,0.06648936,0.22606383,0.29411765,0.25147929,0.30585106,0.3964497,0.70230076,0.14497041,0.29317269,41.92585584,-3.606394268,0.302833839,90.62032538,1744
Matt Moore,PHI,11,0,0.54545455,0,0,0,0,0,0,0,-1.52958471,-2.861645218,0,-100,1890
Clayton Kershaw,LAD,32,0.03125,0.28125,0.11111111,0.24137931,0.26666667,0.24137931,0.50804598,0,0.35,1.591354049,-2.283731067,0.228170127,42.06824466,2036
David Peralta,ARI,446,0.09192825,0.17040359,0.53947368,0.25685786,0.32735426,0.39900249,0.72635675,0.14214463,0.3,53.73626876,-0.272730035,0.313687367,92.97949491,2136
Adam Wainwright,STL,54,0.03703704,0.35185185,0.10526316,0.11904762,0.15909091,0.14285714,0.30194805,0.02380952,0.2173913,-1.272879236,-7.812085368,0.139575021,-14.22171107,2233
Carlos Santana,KCR,469,0.15138593,0.17270789,0.87654321,0.18367347,0.30916844,0.32653061,0.63569905,0.14285714,0.19,45.59970088,-11.19451534,0.285577607,77.22286594,2396
Corey Kluber,NYY,2,0,0.5,0,0,0,0,0,0,0,-0.278106311,-0.520299131,0,-100,2429
Nelson Cruz,2 Tms,390,0.09230769,0.22307692,0.4137931,0.23976608,0.31443299,0.47660819,0.79104118,0.23684211,0.25104603,52.81885125,5.591251406,0.331541659,112.5430848,2434
Lance Lynn,CHW,5,0,0.6,0,0.2,0.2,0.2,0.4,0,0.5,0.032045358,-0.573436691,0.175811064,5.821526616,2520
Pete Kozma,OAK,9,0.11111111,0.33333333,0.33333333,0.125,0.22222222,0.125,0.34722222,0,0.2,0.048143874,-1.041723815,0.174530208,8.011097278,2539
Jhoulys Chacin,COL,7,0,0.28571429,0,0,0,0,0,0,0,-0.973372088,-1.821046957,0,-100,2608
Manny Pina,MIL,116,0.0862069,0.22413793,0.38461538,0.16504854,0.25,0.38834951,0.63834951,0.22330097,0.14084507,10.28172607,-3.765457475,0.275193072,68.64881378,2829
Ross Detwiler,MIA,2,0,0.5,0,0.5,0.5,0.5,1,0,1,0.449204824,0.207012005,0.439527661,180.7919529,2859
Roberto Perez,CLE,100,0.09,0.38,0.23684211,0.13483146,0.21428571,0.26966292,0.48394863,0.13483146,0.1875,4.030449029,-8.079191957,0.216778329,32.51678805,2900
Tommy Pham,SDP,407,0.12285012,0.22604423,0.54347826,0.23931624,0.33660934,0.3988604,0.73546974,0.15954416,0.29083665,52.00821472,2.721975905,0.322509699,104.2899674,2967
Mitch Moreland,OAK,208,0.06730769,0.21153846,0.31818182,0.24210526,0.29807692,0.43157895,0.72965587,0.18947369,0.27142857,24.77294188,-0.415111368,0.312014341,100.888591,3086
Kenley Jansen,LAD,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,3096
Tony Watson,LAA,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,3132
Max Scherzer,2 Tms,44,0,0.45454545,0,0,0,0,0,0,0,-6.118338838,-11.44658087,0,-100,3137
Robinson Chirinos,CHC,74,0.05405405,0.31081081,0.17391304,0.24615385,0.32876712,0.44615385,0.77492097,0.2,0.33333333,10.27191185,1.310777521,0.335835297,108.1860857,3142
David Price,LAD,15,0,0.2,0,0.25,0.23076923,0.33333333,0.56410256,0.08333333,0.3,0.777972017,-1.038474131,0.230750552,43.74476744,3184
Charlie Culberson,TEX,127,0.08661417,0.31496063,0.275,0.12280702,0.20634921,0.1754386,0.38178781,0.05263158,0.17808219,1.398240244,-13.98100381,0.181371634,9.765845976,3298
Matt Joyce,PHI,55,0.18181818,0.2,0.90909091,0.09090909,0.25454545,0.18181818,0.43636363,0.09090909,0.09090909,1.401726757,-5.258575785,0.198868079,19.03818254,3353
Drew Butera,LAA,30,0,0.4,0,0.07692308,0.07407407,0.07692308,0.15099715,0,0.13333333,-2.555347695,-6.188239991,0.065115209,-70.21512527,3411
Jeff Mathis,ATL,6,0,0.66666667,0,0,0,0,0,0,0,-0.834318932,-1.560897392,0,-100,3448
Anthony Rizzo,2 Tms,405,0.10123457,0.17283951,0.58571429,0.21449275,0.32098765,0.4115942,0.73258185,0.19710145,0.22348485,50.10760188,1.063555886,0.317614877,98.05479073,3473
Eric Hosmer,SDP,407,0.10565111,0.17690418,0.59722222,0.27222222,0.35380835,0.4,0.75380835,0.12777778,0.31785714,54.58040826,5.294169453,0.330148148,109.2527293,3516
Rene Rivera,2 Tms,46,0.02173913,0.39130435,0.05555556,0.19512195,0.23255814,0.29268293,0.52524107,0.09756098,0.31818182,2.385324346,-3.185110508,0.231073165,41.29621995,3648
