"","Rd","#","Phase","POS","Drafted From","Year","Tm","Name"
"1",1,1,"JR","P","UCLA",2011,"Pittsburgh Pirates","Gerrit Cole"
"2",1,2,"JR","LHP","University of Virginia",2011,"Seattle Mariners","Danny Hultzen"
"3",1,3,"JR","P","UCLA",2011,"Arizona Diamondbacks","Trevor Bauer"
"4",1,4,"JR","P","Owasso High School (Owasso, OK)",2011,"Baltimore Orioles","Dylan Bundy"
"5",1,5,"JR","OF","Gardner Edgerton High School (Gardner, KS)",2011,"Kansas City Royals","Bubba Starling"
"6",1,6,"JR","3B","Rice University",2011,"Washington Nationals","Anthony Rendon"
"7",1,7,"JR","P","Broken Arrow High School (Broken Arrow, OK)",2011,"Arizona Diamondbacks","Archie Bradley"
"8",1,8,"JR","SS","Montverde Academy (Montverde, FL)",2011,"Cleveland Indians","Francisco Lindor"
"9",1,9,"JR","SS","Arlington Country Day School (Jacksonville, FL)",2011,"Chicago Cubs","Javier Baez"
"10",1,10,"JR","2B","Indian River State College",2011,"San Diego Padres","Cory Spangenberg"
"11",1,11,"JR","OF","University of Connecticut",2011,"Houston Astros","George Springer"
"12",1,12,"JR","P","University of Texas",2011,"Milwaukee Brewers","Taylor Jungmann"
"13",1,13,"JR","OF","Cheyenne East High School (Cheyenne, WY)",2011,"New York Mets","Brandon Nimmo"
"14",1,14,"JR","P","Alonso High School (Tampa, FL)",2011,"Miami Marlins","Jose Fernandez"
"15",1,15,"JR","P","Georgia Institute of Technology",2011,"Milwaukee Brewers","Jed Bradley"
"16",1,16,"JR","P","Stanford University",2011,"Los Angeles Dodgers","Chris Reed"
"17",1,17,"JR","1B","University of Utah",2011,"Los Angeles Angels","C.J. Cron"
"18",1,18,"JR","P","Vanderbilt University",2011,"Oakland Athletics","Sonny Gray"
"19",1,19,"JR","P","University of Connecticut",2011,"Boston Red Sox","Matt Barnes"
"20",1,20,"JR","LHP","University of Oregon",2011,"Colorado Rockies","Tyler Anderson"
"21",1,21,"JR","RHP","Lawrence Academy (Groton, MA)",2011,"Toronto Blue Jays","Tyler Beede"
"22",1,22,"JR","2B","University of Hawaii",2011,"St. Louis Cardinals","Kolten Wong"
"23",1,23,"JR","P","Greensburg High School (Greensburg, Indiana)",2011,"Washington Nationals","Alex Meyer"
"24",1,24,"JR","RHP","Spring Valley High School (Columbia, SC)",2011,"Tampa Bay Rays","Taylor Guerrieri"
"25",1,25,"JR","P","Bishop O'Dowd High School (Oakland, CA)",2011,"San Diego Padres","Joe Ross"
"26",1,26,"JR","C","Cleveland High School (Rio Rancho, NM)",2011,"Boston Red Sox","Blake Swihart"
"27",1,27,"JR","RHP","Alhambra High School (Martinez, CA)",2011,"Cincinnati Reds","Robert Stephenson"
"28",1,28,"JR","P","Florida State University",2011,"Atlanta Braves","Sean Gilmartin"
"29",1,29,"JR","SS","St. John's University",2011,"San Francisco Giants","Joe Panik"
"30",1,30,"JR","SS","University of North Carolina",2011,"Minnesota Twins","Levi Michael"
"31",1,31,"JR","OF","Louisiana State University",2011,"Tampa Bay Rays","Mikie Mahtook"
"32",1,32,"JR","SS","Sierra Vista High School (Las Vegas, NV)",2011,"Tampa Bay Rays","Jake Hager"
"33",1,33,"JR","P","Richmond Hill (Richmond Hill,GA)",2011,"Texas Rangers","Kevin Matthews"
"34",1,34,"JR","CF","Miami-Dade College",2011,"Washington Nationals","Brian Goodwin"
"35",1,35,"JR","OF","Chino High School (Chino, CA)",2011,"Toronto Blue Jays","Jacob Anderson"
"36",1,36,"JR","P","Edison High School (Huntington Beach, CA)",2011,"Boston Red Sox","Henry Owens"
"37",1,37,"JR","OF","University of Georgia",2011,"Texas Rangers","Zach Cone"
"38",1,38,"JR","SS","Santiago High School (Corona, CA)",2011,"Tampa Bay Rays","Brandon Martin"
"39",1,39,"JR","OF","Berrien County High School (Nashville, GA)",2011,"Philadelphia Phillies","Larry Greene"
"40",1,40,"JR","OF","University of South Carolina",2011,"Boston Red Sox","Jackie Bradley"
"41",1,41,"JR","3B","St. Francis High School (Mountain View, CA)",2011,"Tampa Bay Rays","Tyler Goeddel"
"42",1,42,"JR","P","Lower Columbia Community College",2011,"Tampa Bay Rays","Jeff Ames"
"43",1,43,"JR","P","Kent State University",2011,"Arizona Diamondbacks","Andrew Chafin"
"44",1,44,"JR","RHP","Deer Creek High School (Edmond, OK)",2011,"New York Mets","Michael Fulmer"
"45",1,45,"JR","SS","Irving High School (Irving, TX)",2011,"Colorado Rockies","Trevor Story"
"46",1,46,"JR","P","Grossmont High School (El Cajon, CA)",2011,"Toronto Blue Jays","Joe Musgrove"
"47",1,47,"JR","OF","Central Arizona College",2011,"Chicago White Sox","Keenyn Walker"
"48",1,48,"JR","RHP","West Boca Raton High School (Boca Raton, FL)",2011,"San Diego Padres","Michael Kelly"
"49",1,49,"JR","P","Sherman High School (Sherman, TX)",2011,"San Francisco Giants","Kyle Crick"
"50",1,50,"JR","3B","Tustin High School (Tustin, CA)",2011,"Minnesota Twins","Travis Harrison"
"51",1,51,"JR","3B","Orangewood Christian High School (Maitland, FL)",2011,"New York Yankees","Dante Bichette"
"52",1,52,"JR","P","Shorewood High School (Shoreline, WA)",2011,"Tampa Bay Rays","Blake Snell"
"53",1,53,"JR","OF","McIntosh High School (Peachtree City, GA)",2011,"Toronto Blue Jays","Dwight Smith"
"54",1,54,"JR","C","Providence High School (Charlotte, NC)",2011,"San Diego Padres","Brett Austin"
"55",1,55,"JR","P","Bishop Verot High School (Fort Myers, FL)",2011,"Minnesota Twins","Hudson Boyd"
"56",1,56,"JR","OF","Western Kentucky University",2011,"Tampa Bay Rays","Kes Carter"
"57",1,57,"JR","P","Seneca High School (Tabernacle, NJ)",2011,"Toronto Blue Jays","Kevin Comer"
"58",1,58,"JR","SS","McNeese State University",2011,"San Diego Padres","Jace Peterson"
"59",1,59,"JR","P","Vanderbilt University",2011,"Tampa Bay Rays","Grayson Garvin"
"60",1,60,"JR","OF","Oakland Tech (Oakland, CA)",2011,"Tampa Bay Rays","James Harris"
"61",2,61,"JR","RF","Jesuit College Preparatory School (Dallas, TX)",2011,"Pittsburgh Pirates","Josh Bell"
"62",2,62,"JR","SS","Clemson University",2011,"Seattle Mariners","Brad Miller"
"63",2,63,"JR","P","Coastal Carolina University",2011,"Arizona Diamondbacks","Anthony Meo"
"64",2,64,"JR","3B","Vanderbilt University",2011,"Baltimore Orioles","Jason Esposito"
"65",2,65,"JR","C","Manheim Township High School (Lancaster, PA)",2011,"Kansas City Royals","Cam Gallagher"
"66",2,66,"JR","SS","Port St. Joe (Port St. Joe, FL)",2011,"Philadelphia Phillies","Roman Quinn"
"67",2,67,"JR","P","Searcy High School (Searcy, AR)",2011,"Cleveland Indians","Dillon Howard"
"68",2,68,"JR","1B","Bishop Verot High School (Fort Myers, FL)",2011,"Chicago Cubs","Daniel Vogelbach"
"69",2,69,"JR","P","Locust Grove High School (Locust Grove, OK)",2011,"Houston Astros","Adrian Houser"
"70",2,70,"JR","P","Caguas Military Academy (Caguas, Puerto Rico)",2011,"Milwaukee Brewers","Jorge Lopez"
"71",2,71,"JR","P","North Carolina State University",2011,"New York Mets","Cory Mazzoni"
"72",2,72,"JR","P","University of Washington",2011,"Miami Marlins","Adam Conley"
